onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8668	0	1	TRIGGER	3.1416	-3
1.7502	0	2	TRIGGER	3.1416	-2
2.4170	2.4122	2	DOT_FLIP	N/A	1
2.6167	0	3	TRIGGER	3.1416	-2
2.8333	0.3501	3	KEYPRESS	0.4211	1
3.5001	0	4	TRIGGER	3.1416	-2
4.3664	0	5	TRIGGER	3.1416	-2
4.4663	2.0404	5	DOT_FLIP	N/A	0
5.0161	0.1334	5	KEYPRESS	0.5635	1
5.2330	0	6	TRIGGER	3.1416	-2
6.1161	1.6632	6	DOT_FLIP	N/A	1
6.1161	0	7	TRIGGER	3.1416	-2
6.4663	0.1498	7	KEYPRESS	0.3505	1
6.9828	0	8	TRIGGER	3.1416	-1
7.3329	1.2157	8	DOT_FLIP	N/A	0
7.6998	0.1499	8	KEYPRESS	0.3683	1
7.8665	0	9	TRIGGER	3.1416	-1
8.7328	0	10	TRIGGER	3.1416	-1
9.4323	2.0856	10	DOT_FLIP	N/A	1
9.6156	0	11	TRIGGER	3.1416	-1
9.7654	0.1336	11	KEYPRESS	0.3484	1
10.4822	0	12	TRIGGER	3.1416	-1
11.1489	1.7257	12	DOT_FLIP	N/A	0
11.3658	0	13	TRIGGER	3.1416	-1
11.5157	0.1499	13	KEYPRESS	0.3729	1
12.2323	0	14	TRIGGER	3.1416	0
13.0992	0	15	TRIGGER	3.1416	0
13.9823	0	16	TRIGGER	3.1416	0
14.0156	2.8700	16	DOT_FLIP	N/A	1
14.3484	0.1500	16	KEYPRESS	0.3356	1
14.8485	0	17	TRIGGER	4.2079	0
15.7318	0	18	TRIGGER	5.3178	0
16.5983	0	19	TRIGGER	0.1236	1
16.6484	2.6238	19	DOT_FLIP	N/A	0
16.9482	0.1501	19	KEYPRESS	0.3116	1
17.4817	0	20	TRIGGER	1.2337	1
18.0651	1.4252	20	DOT_FLIP	N/A	1
18.3483	0	21	TRIGGER	2.3227	1
18.4652	0.1663	21	KEYPRESS	0.4035	1
18.8987	0.8364	21	DOT_FLIP	N/A	0
19.2317	0	22	TRIGGER	3.4328	1
19.3316	0.1330	22	KEYPRESS	0.4335	1
19.7145	0.8030	22	DOT_FLIP	N/A	1
20.0976	0	23	TRIGGER	4.5209	1
20.1312	0.1166	23	KEYPRESS	0.4302	1
20.9645	0	24	TRIGGER	5.6102	1
21.8478	0	25	TRIGGER	0.4371	2
22.4810	2.7779	25	DOT_FLIP	N/A	0
22.7144	0	26	TRIGGER	1.5260	2
22.8648	0.1332	26	KEYPRESS	0.3858	1
23.5980	0	27	TRIGGER	2.6364	2
23.8311	1.3442	27	DOT_FLIP	N/A	1
24.1646	0.1332	27	KEYPRESS	0.3414	1
24.4639	0	28	TRIGGER	3.7246	2
25.1140	1.2892	28	DOT_FLIP	N/A	0
25.3472	0	29	TRIGGER	4.8345	2
25.4139	0.1667	29	KEYPRESS	0.3015	1
26.2140	0	30	TRIGGER	5.9238	2
27.0975	0	31	TRIGGER	0.7509	3
27.1145	1.9868	31	DOT_FLIP	N/A	1
27.4306	0.1667	31	KEYPRESS	0.3314	1
27.9639	0	32	TRIGGER	1.8396	3
28.8307	0	33	TRIGGER	2.9288	3
29.7135	0	34	TRIGGER	4.0382	3
30.0803	2.9720	34	DOT_FLIP	N/A	0
30.6136	0	35	TRIGGER	5.1693	3
30.5799	0.1337	35	KEYPRESS	0.5087	1
31.4635	0	36	TRIGGER	6.2374	3
31.8634	1.7812	36	DOT_FLIP	N/A	1
32.3300	0	37	TRIGGER	1.0430	4
32.2967	0.1499	37	KEYPRESS	0.4443	1
33.2136	0	38	TRIGGER	2.1534	4
33.6967	1.8342	38	DOT_FLIP	N/A	0
34.0803	0	39	TRIGGER	3.2424	4
34.0465	0.1502	39	KEYPRESS	0.3599	1
34.9630	0	40	TRIGGER	4.3517	4
35.6297	1.9359	40	DOT_FLIP	N/A	1
35.8297	0	41	TRIGGER	5.4408	4
35.9961	0.1502	41	KEYPRESS	0.3735	1
36.6964	0	42	TRIGGER	0.2468	5
37.5793	0	43	TRIGGER	1.3563	5
38.4461	0	44	TRIGGER	2.4455	5
38.4630	2.8367	44	DOT_FLIP	N/A	0
38.8463	0.1501	44	KEYPRESS	0.3870	1
39.3296	0	45	TRIGGER	3.5557	5
40.1953	0	46	TRIGGER	4.6437	5
41.0787	0	47	TRIGGER	5.7538	5
41.3622	2.8978	47	DOT_FLIP	N/A	1
41.7122	0.1667	47	KEYPRESS	0.3552	1
41.9453	0	48	TRIGGER	0.5596	6
42.8290	0	49	TRIGGER	1.6700	6
43.6957	0	50	TRIGGER	2.7592	6
43.9289	2.5644	50	DOT_FLIP	N/A	0
44.2622	0.1333	50	KEYPRESS	0.3408	1
44.5617	0	51	TRIGGER	3.8474	6
45.4451	0	52	TRIGGER	4.9576	6
45.5784	1.6422	52	DOT_FLIP	N/A	1
46.0118	0.1499	52	KEYPRESS	0.4482	1
46.3118	0	53	TRIGGER	6.0467	6
47.1949	0	54	TRIGGER	0.8732	7
48.0614	0	55	TRIGGER	1.9621	7
48.5118	2.9392	55	DOT_FLIP	N/A	0
48.9449	0	56	TRIGGER	3.0724	7
48.8615	0.1336	56	KEYPRESS	0.3586	1
49.3284	0.8244	56	DOT_FLIP	N/A	1
49.8111	0	57	TRIGGER	4.1608	7
49.7778	0.1499	57	KEYPRESS	0.4506	1
50.6944	0	58	TRIGGER	5.2708	7
51.5611	0	59	TRIGGER	0.0768	8
51.7945	2.4557	59	DOT_FLIP	N/A	0
52.1445	0.1334	59	KEYPRESS	0.3616	1
52.4278	0	60	TRIGGER	1.1659	8
53.3111	0	61	TRIGGER	2.2759	8
53.4612	1.6668	61	DOT_FLIP	N/A	1
53.9446	0.1832	61	KEYPRESS	0.4949	1
54.1781	0	62	TRIGGER	3.3654	8
55.0607	0	63	TRIGGER	4.4745	8
55.8772	2.4205	63	DOT_FLIP	N/A	0
55.9276	0	64	TRIGGER	5.5639	8
56.1941	0.1496	64	KEYPRESS	0.3239	1
56.8106	0	65	TRIGGER	0.3903	9
57.6774	0	66	TRIGGER	1.4795	9
58.0274	2.1545	66	DOT_FLIP	N/A	1
58.3771	0.1503	66	KEYPRESS	0.3523	1
58.5605	0	67	TRIGGER	2.5893	9
59.4272	0	68	TRIGGER	3.6784	9
59.7099	0.1333	68	KEYPRESS	1.6852	1
59.9932	1.9630	68	DOT_FLIP	N/A	0
60.2933	0	69	TRIGGER	4.7668	9
60.4601	0.1332	69	KEYPRESS	0.4724	1
61.1766	0	70	TRIGGER	5.8768	9
62.0435	0	71	TRIGGER	0.6829	10
62.4934	2.4971	71	DOT_FLIP	N/A	1
62.9266	0	72	TRIGGER	1.7927	10
62.8934	0.1500	72	KEYPRESS	0.4085	1
63.7935	0	73	TRIGGER	2.8821	10
64.6762	0	74	TRIGGER	3.9913	10
65.1261	2.6282	74	DOT_FLIP	N/A	0
65.5428	0	75	TRIGGER	5.0803	10
