onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8834	0	1	TRIGGER	3.1416	-1
1.7494	0	2	TRIGGER	3.1416	-1
1.6494	0.2165	2	KEYPRESS	1.6494	3
2.6327	0	3	TRIGGER	3.1416	-1
2.7166	2.7138	3	DOT_FLIP	N/A	1
3.0661	0.1836	3	KEYPRESS	0.3523	3
3.4995	0	4	TRIGGER	3.1416	-1
4.3660	0	5	TRIGGER	3.1416	0
4.9994	2.2759	5	DOT_FLIP	N/A	0
5.2496	0	6	TRIGGER	3.1416	0
5.3495	0.1834	6	KEYPRESS	0.3598	3
5.9493	0.9566	6	DOT_FLIP	N/A	1
6.1154	0	7	TRIGGER	3.1416	0
6.2988	0.1833	7	KEYPRESS	0.3525	3
6.7654	0.8030	7	DOT_FLIP	N/A	0
6.9987	0	8	TRIGGER	3.1416	0
7.0990	0.1497	8	KEYPRESS	0.3496	3
7.8654	1.1009	8	DOT_FLIP	N/A	1
7.8654	0	9	TRIGGER	3.1416	0
8.1987	0.1499	9	KEYPRESS	0.3485	3
8.7489	0	10	TRIGGER	3.1416	0
9.6155	0	11	TRIGGER	3.1416	0
10.4823	0	12	TRIGGER	3.1416	0
10.5487	2.6905	12	DOT_FLIP	N/A	0
10.8990	0.1665	12	KEYPRESS	0.3582	3
11.3648	0	13	TRIGGER	3.1416	0
11.4654	0.9137	13	DOT_FLIP	N/A	1
11.7984	0.1498	13	KEYPRESS	0.3440	3
12.2322	0	14	TRIGGER	3.1416	0
13.1153	0	15	TRIGGER	3.1416	0
13.8818	2.4189	15	DOT_FLIP	N/A	0
13.9819	0	16	TRIGGER	3.1416	0
14.1984	0.1668	16	KEYPRESS	0.3251	3
14.8650	0	17	TRIGGER	3.4133	0
14.9153	1.0315	17	DOT_FLIP	N/A	1
15.3983	0.1668	17	KEYPRESS	0.4934	3
15.7316	0	18	TRIGGER	3.6856	0
16.2646	1.3583	18	DOT_FLIP	N/A	0
16.6144	0	19	TRIGGER	3.9629	0
16.7146	0.1497	19	KEYPRESS	0.4515	3
17.4811	0	20	TRIGGER	4.2352	0
18.1976	1.9315	20	DOT_FLIP	N/A	1
18.3480	0	21	TRIGGER	4.5075	0
18.5812	0.1498	21	KEYPRESS	0.3866	3
19.2312	0	22	TRIGGER	4.7850	0
19.3313	1.1314	22	DOT_FLIP	N/A	0
19.7145	0.1666	22	KEYPRESS	0.3885	3
20.0976	0	23	TRIGGER	5.0572	0
20.9812	0	24	TRIGGER	5.3348	0
21.7640	2.4374	24	DOT_FLIP	N/A	1
21.8472	0	25	TRIGGER	5.6069	0
22.1472	0.1501	25	KEYPRESS	0.3838	3
22.7306	0	26	TRIGGER	5.8844	0
23.5974	0	27	TRIGGER	6.1567	0
24.3307	2.5661	27	DOT_FLIP	N/A	0
24.4805	0	28	TRIGGER	0.1509	1
24.7308	0.1666	28	KEYPRESS	0.4013	3
25.3471	0	29	TRIGGER	0.4232	1
25.9473	1.6057	29	DOT_FLIP	N/A	1
26.2301	0	30	TRIGGER	0.7006	1
26.3466	0.1834	30	KEYPRESS	0.4115	3
27.0967	0	31	TRIGGER	0.9728	1
27.9633	0	32	TRIGGER	1.2451	1
28.7466	2.8057	32	DOT_FLIP	N/A	0
28.8467	0	33	TRIGGER	1.5226	1
29.0966	0.1503	33	KEYPRESS	0.3557	3
29.7134	0	34	TRIGGER	1.7949	1
30.5966	0	35	TRIGGER	2.0724	1
31.1468	2.4030	35	DOT_FLIP	N/A	1
31.4624	0	36	TRIGGER	2.3444	1
31.4960	0.1502	36	KEYPRESS	0.3522	3
31.9461	0.8020	36	DOT_FLIP	N/A	0
