onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8668	0	1	TRIGGER	3.1416	-3
1.7500	0	2	TRIGGER	3.1416	-2
2.6162	0	3	TRIGGER	3.1416	-2
2.6663	2.6594	3	DOT_FLIP	N/A	1
3.4999	0	4	TRIGGER	3.1416	-2
3.5995	0.1503	4	KEYPRESS	0.9400	3
4.3663	0	5	TRIGGER	3.1416	-2
5.2497	2.5861	5	DOT_FLIP	N/A	0
5.2497	0	6	TRIGGER	3.1416	-2
5.6499	0.1833	6	KEYPRESS	0.4043	3
6.0662	0.8087	6	DOT_FLIP	N/A	1
6.1161	0	7	TRIGGER	3.1416	-2
6.5327	0.1501	7	KEYPRESS	0.4784	3
6.9830	0	8	TRIGGER	3.1416	-1
7.8655	0	9	TRIGGER	3.1416	-1
8.5491	2.4791	9	DOT_FLIP	N/A	0
8.7322	0	10	TRIGGER	3.1416	-1
8.8655	0.1502	10	KEYPRESS	0.3322	3
9.5489	1.0064	10	DOT_FLIP	N/A	1
9.6155	0	11	TRIGGER	3.1416	-1
9.9990	0.1670	11	KEYPRESS	0.4592	3
10.4822	0	12	TRIGGER	3.1416	-1
11.3655	0	13	TRIGGER	3.1416	-1
11.4496	1.8961	13	DOT_FLIP	N/A	0
11.8322	0.1500	13	KEYPRESS	0.3964	3
12.2316	0	14	TRIGGER	3.1416	0
13.1151	0	15	TRIGGER	3.1416	0
13.9820	0	16	TRIGGER	3.1416	0
14.2984	2.8553	16	DOT_FLIP	N/A	1
14.6484	0.1831	16	KEYPRESS	0.3573	3
14.8652	0	17	TRIGGER	4.2288	0
15.7317	0	18	TRIGGER	5.3177	0
15.7818	1.4877	18	DOT_FLIP	N/A	0
16.1817	0.1167	18	KEYPRESS	0.4030	3
16.5985	0	19	TRIGGER	0.1238	1
17.4811	0	20	TRIGGER	1.2329	1
17.8647	2.0694	20	DOT_FLIP	N/A	1
18.1810	0.1501	20	KEYPRESS	0.3328	3
18.3645	0	21	TRIGGER	2.3429	1
18.9146	1.0544	21	DOT_FLIP	N/A	0
19.2312	0	22	TRIGGER	3.4321	1
19.3478	0.1336	22	KEYPRESS	0.4452	3
20.0978	0	23	TRIGGER	4.5211	1
20.7979	1.8809	23	DOT_FLIP	N/A	1
20.9812	0	24	TRIGGER	5.6313	1
20.7316	0.3830	24	KEYPRESS	1.8291	3
21.8481	0	25	TRIGGER	0.4374	2
22.3802	0.1501	25	KEYPRESS	1.5967	3
22.7303	0	26	TRIGGER	1.5460	2
23.5970	0	27	TRIGGER	2.6352	2
23.6306	2.8461	27	DOT_FLIP	N/A	0
24.1305	0.1167	27	KEYPRESS	0.5009	3
24.4640	0	28	TRIGGER	3.7246	2
25.3472	0	29	TRIGGER	4.8345	2
25.9973	2.3646	29	DOT_FLIP	N/A	1
26.2307	0	30	TRIGGER	5.9447	2
26.1971	0.1334	30	KEYPRESS	0.2029	3
27.0970	0	31	TRIGGER	0.7502	3
27.4132	1.4095	31	DOT_FLIP	N/A	0
27.8297	0.1334	31	KEYPRESS	0.4260	3
27.9976	0	32	TRIGGER	1.8819	3
28.8464	0	33	TRIGGER	2.9486	3
29.2466	1.8336	33	DOT_FLIP	N/A	1
29.5631	0.1000	33	KEYPRESS	0.3258	3
29.7131	0	34	TRIGGER	4.0376	3
30.5798	0	35	TRIGGER	5.1268	3
31.4631	0	36	TRIGGER	6.2368	3
32.0631	2.8198	36	DOT_FLIP	N/A	0
32.1798	0.1163	36	KEYPRESS	0.1227	3
32.3293	0	37	TRIGGER	1.0422	4
33.2138	0	38	TRIGGER	2.1536	4
34.0794	0	39	TRIGGER	3.2414	4
34.8793	2.8180	39	DOT_FLIP	N/A	1
34.9626	0	40	TRIGGER	4.3512	4
35.2627	0.1333	40	KEYPRESS	0.3876	3
35.8293	0	41	TRIGGER	5.4404	4
36.7126	0	42	TRIGGER	0.2671	5
37.2791	2.4010	42	DOT_FLIP	N/A	0
37.5790	0	43	TRIGGER	1.3559	5
37.8122	0.1502	43	KEYPRESS	0.5362	3
38.4623	0	44	TRIGGER	2.4659	5
39.3290	0	45	TRIGGER	3.5550	5
39.7790	2.4899	45	DOT_FLIP	N/A	1
40.1956	0	46	TRIGGER	4.6440	5
40.1290	0.1829	46	KEYPRESS	0.3630	3
41.0791	0	47	TRIGGER	5.7543	5
41.9291	2.1532	47	DOT_FLIP	N/A	0
41.9459	0	48	TRIGGER	0.5603	6
42.3279	0.1351	48	KEYPRESS	0.4087	3
42.8296	0	49	TRIGGER	1.6708	6
43.6961	0	50	TRIGGER	2.7597	6
44.5795	0	51	TRIGGER	3.8698	6
44.8779	2.9564	51	DOT_FLIP	N/A	1
45.2296	0.1499	51	KEYPRESS	0.3540	3
45.4462	0	52	TRIGGER	4.9589	6
46.2779	1.4004	52	DOT_FLIP	N/A	0
46.3126	0	53	TRIGGER	6.0477	6
46.7962	0.1165	53	KEYPRESS	0.5202	3
47.1961	0	54	TRIGGER	0.8747	7
47.6939	1.4055	54	DOT_FLIP	N/A	1
48.0625	0	55	TRIGGER	1.9635	7
48.2290	0.1502	55	KEYPRESS	0.5476	3
48.9457	0	56	TRIGGER	3.0734	7
49.1774	1.4835	56	DOT_FLIP	N/A	0
49.4792	0.1498	56	KEYPRESS	0.3143	3
49.8126	0	57	TRIGGER	4.1628	7
50.6959	0	58	TRIGGER	5.2727	7
51.5626	0	59	TRIGGER	0.0787	8
51.9774	2.7986	59	DOT_FLIP	N/A	1
52.4437	0	60	TRIGGER	1.1859	8
52.3101	0.1671	60	KEYPRESS	0.3465	3
53.0273	1.0587	60	DOT_FLIP	N/A	0
53.3107	0	61	TRIGGER	2.2754	8
53.7605	0.1501	61	KEYPRESS	0.7383	3
54.1771	0	62	TRIGGER	3.3642	8
55.0603	0	63	TRIGGER	4.4740	8
55.6103	2.5719	63	DOT_FLIP	N/A	1
55.9273	0	64	TRIGGER	5.5635	8
55.9773	0.1665	64	KEYPRESS	0.3831	3
56.8109	0	65	TRIGGER	0.3907	9
57.6766	0	66	TRIGGER	1.4785	9
58.3603	2.7567	66	DOT_FLIP	N/A	0
58.5598	0	67	TRIGGER	2.5885	9
58.7266	0.1336	67	KEYPRESS	0.3758	3
59.4267	0	68	TRIGGER	3.6778	9
60.3098	0	69	TRIGGER	4.7876	9
60.9766	2.6114	69	DOT_FLIP	N/A	1
61.1770	0	70	TRIGGER	5.8772	9
61.3268	0.1667	70	KEYPRESS	0.3646	3
62.0436	0	71	TRIGGER	0.6831	10
62.6093	1.6406	71	DOT_FLIP	N/A	0
62.9260	0	72	TRIGGER	1.7920	10
63.3259	0.1667	72	KEYPRESS	0.7231	3
63.7928	0	73	TRIGGER	2.8813	10
64.6260	2.0178	73	DOT_FLIP	N/A	1
64.6765	0	74	TRIGGER	3.9917	10
65.0097	0.1831	74	KEYPRESS	0.3891	3
65.5430	0	75	TRIGGER	5.0806	10
65.6928	1.0633	75	DOT_FLIP	N/A	0
