onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8672	0	1	TRIGGER	3.1416	-1
1.7340	0	2	TRIGGER	3.1416	-1
2.6174	2.6043	2	DOT_FLIP	N/A	1
2.6174	0	3	TRIGGER	3.1416	-1
2.9174	0.1667	3	KEYPRESS	0.3131	3
3.4838	0	4	TRIGGER	3.1416	-1
4.0838	1.4744	4	DOT_FLIP	N/A	0
4.3673	0	5	TRIGGER	3.1416	-1
4.4673	0.1168	5	KEYPRESS	0.3886	3
5.2334	0	6	TRIGGER	3.1416	-1
5.8335	1.7474	6	DOT_FLIP	N/A	1
6.1167	0	7	TRIGGER	3.1416	-1
6.1339	0.1496	7	KEYPRESS	0.3078	3
6.7336	0.9020	7	DOT_FLIP	N/A	0
6.9833	0	8	TRIGGER	3.1416	-1
7.1000	0.1505	8	KEYPRESS	0.3719	3
7.5833	0.8514	8	DOT_FLIP	N/A	1
7.8501	0	9	TRIGGER	3.1416	-1
7.8834	0.1668	9	KEYPRESS	0.3040	3
8.7334	0	10	TRIGGER	3.1416	-1
9.6001	0	11	TRIGGER	3.1416	0
9.7334	2.1472	11	DOT_FLIP	N/A	0
10.0829	0.1332	11	KEYPRESS	0.3562	3
10.4827	0	12	TRIGGER	3.1416	0
11.3494	0	13	TRIGGER	3.1416	0
12.2328	0	14	TRIGGER	3.1416	0
12.6160	2.8880	14	DOT_FLIP	N/A	1
12.5662	0.1333	14	KEYPRESS	2.8396	3
13.0994	0	15	TRIGGER	3.1416	0
13.9827	0	16	TRIGGER	3.1416	0
14.8495	0	17	TRIGGER	3.6754	0
15.5488	2.9180	17	DOT_FLIP	N/A	0
15.7157	0	18	TRIGGER	4.2196	0
15.8655	0.1334	18	KEYPRESS	0.3329	3
16.5989	0	19	TRIGGER	4.7745	0
16.7655	1.2292	19	DOT_FLIP	N/A	1
17.1990	0.1501	19	KEYPRESS	0.4372	3
17.4655	0	20	TRIGGER	5.3190	0
17.9823	1.2121	20	DOT_FLIP	N/A	0
18.3655	0	21	TRIGGER	5.8845	0
18.3321	0.1169	21	KEYPRESS	0.3582	3
19.2157	0	22	TRIGGER	0.1355	1
20.0983	0	23	TRIGGER	0.6901	1
20.1483	2.1660	23	DOT_FLIP	N/A	1
20.5150	0.1333	23	KEYPRESS	0.3751	3
20.9650	0	24	TRIGGER	1.2346	1
21.8483	0	25	TRIGGER	1.7897	1
22.3483	2.2064	25	DOT_FLIP	N/A	0
22.7318	0	26	TRIGGER	2.3448	1
22.6984	0.1334	26	KEYPRESS	0.3522	3
23.5982	0	27	TRIGGER	2.8891	1
23.9149	1.5533	27	DOT_FLIP	N/A	1
24.2653	0.1333	27	KEYPRESS	0.3657	3
24.4650	0	28	TRIGGER	3.4337	1
24.7316	0.8304	28	DOT_FLIP	N/A	0
25.3309	0	29	TRIGGER	3.9778	1
25.2645	0.1499	29	KEYPRESS	0.5345	3
26.2144	0	30	TRIGGER	4.5329	1
27.0810	0	31	TRIGGER	5.0775	1
27.1310	2.3879	31	DOT_FLIP	N/A	1
27.5142	0.1336	31	KEYPRESS	0.3963	3
27.9646	0	32	TRIGGER	5.6326	1
28.0979	0.9787	32	DOT_FLIP	N/A	0
28.8313	0	33	TRIGGER	6.1772	1
28.9479	0.1831	33	KEYPRESS	0.8514	3
29.7144	0	34	TRIGGER	0.4489	2
29.9977	1.8957	34	DOT_FLIP	N/A	1
30.5805	0	35	TRIGGER	0.9930	2
30.4639	0.1498	35	KEYPRESS	0.4717	3
31.4473	0	36	TRIGGER	1.5377	2
32.0139	2.0063	36	DOT_FLIP	N/A	0
32.3307	0	37	TRIGGER	2.0927	2
32.4473	0.1167	37	KEYPRESS	0.4488	3
32.9143	0.9049	37	DOT_FLIP	N/A	1
33.1972	0	38	TRIGGER	2.6372	2
33.3472	0.1500	38	KEYPRESS	0.4438	3
34.0808	0	39	TRIGGER	3.1924	2
34.9470	0	40	TRIGGER	3.7366	2
35.0640	2.1579	40	DOT_FLIP	N/A	0
35.4305	0.1161	40	KEYPRESS	0.3692	3
35.8300	0	41	TRIGGER	4.2914	2
36.6967	0	42	TRIGGER	4.8360	2
37.2798	2.2106	42	DOT_FLIP	N/A	1
37.5803	0	43	TRIGGER	5.3911	2
37.6301	0.1500	43	KEYPRESS	0.3582	3
38.4470	0	44	TRIGGER	5.9357	2
39.3136	0	45	TRIGGER	0.1970	3
39.8800	2.6033	45	DOT_FLIP	N/A	0
40.1961	0	46	TRIGGER	0.7515	3
40.1628	0.1333	46	KEYPRESS	0.2876	3
41.0627	0	47	TRIGGER	1.2961	3
41.7462	1.8694	47	DOT_FLIP	N/A	1
41.9461	0	48	TRIGGER	1.8511	3
42.0793	0.1337	48	KEYPRESS	0.3346	3
42.8126	0	49	TRIGGER	2.3956	3
43.6295	1.8743	49	DOT_FLIP	N/A	0
43.6961	0	50	TRIGGER	2.9506	3
43.9294	0.1167	50	KEYPRESS	0.3105	3
44.5626	0	51	TRIGGER	3.4951	3
45.4453	0	52	TRIGGER	4.0497	3
45.9457	2.3218	52	DOT_FLIP	N/A	1
46.3123	0	53	TRIGGER	4.5945	3
46.2623	0.1166	53	KEYPRESS	0.3216	3
47.1788	0	54	TRIGGER	5.1389	3
47.7624	1.8067	54	DOT_FLIP	N/A	0
48.0623	0	55	TRIGGER	5.6940	3
48.1789	0.1169	55	KEYPRESS	0.4315	3
48.9122	1.1584	55	DOT_FLIP	N/A	1
48.9289	0	56	TRIGGER	6.2385	3
49.3958	0.1500	56	KEYPRESS	0.4900	3
49.8123	0	57	TRIGGER	0.5104	4
50.6784	0	58	TRIGGER	1.0546	4
51.5617	0	59	TRIGGER	1.6096	4
51.8951	2.9886	59	DOT_FLIP	N/A	0
52.2282	0.1167	59	KEYPRESS	0.3338	3
52.4283	0	60	TRIGGER	2.1541	4
53.3117	0	61	TRIGGER	2.7091	4
53.9783	2.0783	61	DOT_FLIP	N/A	1
54.1784	0	62	TRIGGER	3.2537	4
54.1115	0.1002	62	KEYPRESS	0.1388	3
54.9783	0.9969	62	DOT_FLIP	N/A	0
55.0450	0	63	TRIGGER	3.7982	4
55.4443	0.1170	63	KEYPRESS	0.4747	3
55.9280	0	64	TRIGGER	4.3530	4
56.1112	1.1258	64	DOT_FLIP	N/A	1
56.5444	0.1165	64	KEYPRESS	0.4491	3
56.7945	0	65	TRIGGER	4.8974	4
57.4610	1.3522	65	DOT_FLIP	N/A	0
57.6779	0	66	TRIGGER	5.4525	4
57.8611	0.1332	66	KEYPRESS	0.4135	3
58.5444	0	67	TRIGGER	5.9969	4
58.7443	1.2934	67	DOT_FLIP	N/A	1
59.2110	0.1667	67	KEYPRESS	0.4700	3
59.4279	0	68	TRIGGER	0.2689	5
60.2608	1.5178	68	DOT_FLIP	N/A	0
60.2941	0	69	TRIGGER	0.8131	5
60.6605	0.1335	69	KEYPRESS	0.4017	3
61.1772	0	70	TRIGGER	1.3680	5
62.0438	0	71	TRIGGER	1.9125	5
62.9271	0	72	TRIGGER	2.4674	5
62.9605	2.6869	72	DOT_FLIP	N/A	1
63.3106	0.1333	72	KEYPRESS	0.3648	3
63.7941	0	73	TRIGGER	3.0122	5
64.3106	1.3525	73	DOT_FLIP	N/A	0
64.6608	0	74	TRIGGER	3.5568	5
64.7107	0.1498	74	KEYPRESS	0.4126	3
65.5431	0	75	TRIGGER	4.1112	5
66.2766	1.9751	75	DOT_FLIP	N/A	1
66.4098	0	76	TRIGGER	4.6557	5
66.6266	0.0999	76	KEYPRESS	0.3533	3
67.2933	0	77	TRIGGER	5.2108	5
68.1598	0	78	TRIGGER	5.7553	5
68.2099	1.9316	78	DOT_FLIP	N/A	0
68.5768	0.1334	78	KEYPRESS	0.3719	3
69.0433	0	79	TRIGGER	0.0272	6
69.9099	0	80	TRIGGER	0.5717	6
70.7761	0	81	TRIGGER	1.1160	6
71.1594	2.9400	81	DOT_FLIP	N/A	1
71.6594	0	82	TRIGGER	1.6710	6
71.5427	0.1500	82	KEYPRESS	0.3978	3
72.5261	0	83	TRIGGER	2.2155	6
73.1097	1.9567	83	DOT_FLIP	N/A	0
73.4094	0	84	TRIGGER	2.7705	6
73.5096	0.1165	84	KEYPRESS	0.4079	3
74.2762	0	85	TRIGGER	3.3151	6
75.1593	0	86	TRIGGER	3.8700	6
75.5587	2.4466	86	DOT_FLIP	N/A	1
75.9087	0.1166	86	KEYPRESS	0.3604	3
76.0587	0	87	TRIGGER	4.4351	6
76.9087	0	88	TRIGGER	4.9692	6
77.7755	0	89	TRIGGER	5.5138	6
78.5088	2.9564	89	DOT_FLIP	N/A	0
78.6421	0	90	TRIGGER	6.0583	6
78.8590	0.1164	90	KEYPRESS	0.3543	3
79.5257	0	91	TRIGGER	0.3303	7
80.3917	0	92	TRIGGER	0.8744	7
81.2748	0	93	TRIGGER	1.4293	7
81.4752	2.9574	93	DOT_FLIP	N/A	1
81.8417	0.1332	93	KEYPRESS	0.3796	3
82.1419	0	94	TRIGGER	1.9741	7
82.2916	0.8188	94	DOT_FLIP	N/A	0
82.8083	0.1166	94	KEYPRESS	0.5274	3
83.0247	0	95	TRIGGER	2.5288	7
83.8914	0	96	TRIGGER	3.0733	7
84.7750	0	97	TRIGGER	3.6285	7
84.9751	2.6869	97	DOT_FLIP	N/A	1
85.3742	0.1503	97	KEYPRESS	0.4063	3
85.6411	0	98	TRIGGER	4.1727	7
86.5079	0	99	TRIGGER	4.7173	7
87.3244	2.3441	99	DOT_FLIP	N/A	0
87.3909	0	100	TRIGGER	5.2722	7
87.8078	0.1165	100	KEYPRESS	0.4959	3
88.2579	0	101	TRIGGER	5.8169	7
89.0913	1.7719	101	DOT_FLIP	N/A	1
89.1413	0	102	TRIGGER	0.0888	8
89.7578	0.1335	102	KEYPRESS	0.6739	3
90.0080	0	103	TRIGGER	0.6333	8
90.3237	1.2364	103	DOT_FLIP	N/A	0
90.8905	0	104	TRIGGER	1.1878	8
90.7905	0.1332	104	KEYPRESS	0.4702	3
91.1904	0.8546	104	DOT_FLIP	N/A	1
91.7573	0	105	TRIGGER	1.7325	8
91.6402	0.1501	105	KEYPRESS	0.4654	3
92.6403	0	106	TRIGGER	2.2873	8
93.5073	0	107	TRIGGER	2.8320	8
93.7406	2.5633	107	DOT_FLIP	N/A	0
94.1239	0.1335	107	KEYPRESS	0.3858	3
94.3737	0	108	TRIGGER	3.3764	8
95.2572	0	109	TRIGGER	3.9315	8
96.1231	0	110	TRIGGER	4.4755	8
96.4402	2.6946	110	DOT_FLIP	N/A	1
96.8232	0.1501	110	KEYPRESS	0.3905	3
97.0067	0	111	TRIGGER	5.0308	8
97.8732	0	112	TRIGGER	5.5752	8
98.4231	1.9820	112	DOT_FLIP	N/A	0
98.7568	0	113	TRIGGER	6.1304	8
99.0234	0.1000	113	KEYPRESS	0.6086	3
99.6233	0	114	TRIGGER	0.3916	9
100.5059	0	115	TRIGGER	0.9462	9
101.3062	2.8747	115	DOT_FLIP	N/A	1
101.3728	0	116	TRIGGER	1.4909	9
101.7229	0.1498	116	KEYPRESS	0.4333	3
102.2564	0	117	TRIGGER	2.0461	9
102.3559	1.0621	117	DOT_FLIP	N/A	0
102.8063	0.1333	117	KEYPRESS	0.4546	3
103.1227	0	118	TRIGGER	2.5904	9
103.6896	1.3288	118	DOT_FLIP	N/A	1
103.9893	0	119	TRIGGER	3.1349	9
104.0562	0.1163	119	KEYPRESS	0.3758	3
104.8729	0	120	TRIGGER	3.6900	9
105.7386	0	121	TRIGGER	4.2340	9
105.7891	2.1042	121	DOT_FLIP	N/A	0
106.1889	0.1497	121	KEYPRESS	0.4043	3
106.6221	0	122	TRIGGER	4.7891	9
107.4887	0	123	TRIGGER	5.3336	9
107.7889	1.9890	123	DOT_FLIP	N/A	1
108.3722	0	124	TRIGGER	5.8887	9
108.2056	0.1839	124	KEYPRESS	0.4320	3
109.2387	0	125	TRIGGER	0.1500	10
109.7055	1.9262	125	DOT_FLIP	N/A	0
110.1053	0	126	TRIGGER	0.6945	10
110.0720	0.1170	126	KEYPRESS	0.3722	3
110.9883	0	127	TRIGGER	1.2493	10
111.8550	0	128	TRIGGER	1.7939	10
112.1051	2.3914	128	DOT_FLIP	N/A	1
112.4717	0.1497	128	KEYPRESS	0.3805	3
112.7384	0	129	TRIGGER	2.3489	10
113.6051	0	130	TRIGGER	2.8934	10
114.1217	2.0179	130	DOT_FLIP	N/A	0
114.4883	0	131	TRIGGER	3.4484	10
114.4382	0.1500	131	KEYPRESS	0.3291	3
115.3549	0	132	TRIGGER	3.9929	10
116.2377	0	133	TRIGGER	4.5476	10
116.7210	2.6106	133	DOT_FLIP	N/A	1
117.1045	0	134	TRIGGER	5.0922	10
117.0710	0.1501	134	KEYPRESS	0.3513	3
117.9711	0	135	TRIGGER	5.6367	10
118.8543	0	136	TRIGGER	6.1917	10
118.9712	2.2503	136	DOT_FLIP	N/A	0
119.5209	0.1337	136	KEYPRESS	0.5509	3
119.7211	0	137	TRIGGER	0.4531	11
120.6037	0	138	TRIGGER	1.0077	11
121.4704	0	139	TRIGGER	1.5522	11
121.6369	2.6623	139	DOT_FLIP	N/A	1
121.9869	0.1500	139	KEYPRESS	0.3547	3
122.3538	0	140	TRIGGER	2.1072	11
123.2204	0	141	TRIGGER	2.6517	11
124.1036	0	142	TRIGGER	3.2067	11
124.2873	2.6543	142	DOT_FLIP	N/A	0
124.6872	0.1000	142	KEYPRESS	0.4006	3
124.9706	0	143	TRIGGER	3.7514	11
125.8532	0	144	TRIGGER	4.3060	11
126.3700	2.0783	144	DOT_FLIP	N/A	1
126.7200	0	145	TRIGGER	4.8506	11
126.7536	0.1663	145	KEYPRESS	0.3887	3
127.5865	0	146	TRIGGER	5.3951	11
128.4699	0	147	TRIGGER	5.9501	11
129.0033	2.6294	147	DOT_FLIP	N/A	0
129.3365	0	148	TRIGGER	0.2114	12
129.3701	0.1333	148	KEYPRESS	0.3758	3
130.2200	0	149	TRIGGER	0.7666	12
130.3199	1.3224	149	DOT_FLIP	N/A	1
130.7526	0.1501	149	KEYPRESS	0.4358	3
131.0861	0	150	TRIGGER	1.3107	12
131.9692	0	151	TRIGGER	1.8656	12
132.8361	0	152	TRIGGER	2.4103	12
133.0361	2.7172	152	DOT_FLIP	N/A	0
133.4194	0.1331	152	KEYPRESS	0.3854	3
133.7194	0	153	TRIGGER	2.9653	12
134.5860	0	154	TRIGGER	3.5098	12
135.4523	0	155	TRIGGER	4.0541	12
135.7021	2.6545	155	DOT_FLIP	N/A	1
136.0855	0.1499	155	KEYPRESS	0.3970	3
136.3355	0	156	TRIGGER	4.6090	12
137.2020	0	157	TRIGGER	5.1535	12
138.0853	0	158	TRIGGER	5.7084	12
138.5355	2.8329	158	DOT_FLIP	N/A	0
138.9520	0	159	TRIGGER	6.2530	12
138.9187	0.1502	159	KEYPRESS	0.3974	3
139.8355	0	160	TRIGGER	0.5250	13
140.7015	0	161	TRIGGER	1.0691	13
141.3682	2.8399	161	DOT_FLIP	N/A	1
141.5850	0	162	TRIGGER	1.6242	13
141.8348	0.1670	162	KEYPRESS	0.4736	3
142.4516	0	163	TRIGGER	2.1687	13
143.3180	0	164	TRIGGER	2.7131	13
143.4515	2.0750	164	DOT_FLIP	N/A	0
144.0184	0.1329	164	KEYPRESS	0.5822	3
144.2014	0	165	TRIGGER	3.2681	13
145.0684	0	166	TRIGGER	3.8129	13
145.9341	2.4899	166	DOT_FLIP	N/A	1
145.9506	0	167	TRIGGER	4.3672	13
146.2841	0.1507	167	KEYPRESS	0.3580	3
146.8177	0	168	TRIGGER	4.9120	13
147.3842	1.4464	168	DOT_FLIP	N/A	0
147.7008	0	169	TRIGGER	5.4669	13
147.8007	0.1166	169	KEYPRESS	0.4283	3
148.5676	0	170	TRIGGER	6.0115	13
149.4508	0	171	TRIGGER	0.2833	14
150.2510	2.8762	171	DOT_FLIP	N/A	1
150.3180	0	172	TRIGGER	0.8281	14
