onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8666	0	1	TRIGGER	3.1416	-1
1.3332	1.3325	1	DOT_FLIP	N/A	1
1.7494	0	2	TRIGGER	3.1416	-1
1.9666	0.5671	2	KEYPRESS	0.6340	1
2.6160	0	3	TRIGGER	3.1416	-1
3.3995	2.0558	3	DOT_FLIP	N/A	0
3.4992	0	4	TRIGGER	3.1416	-1
4.3661	0	5	TRIGGER	3.1416	0
5.2497	0	6	TRIGGER	3.1416	0
6.1161	0	7	TRIGGER	3.1416	0
6.1664	2.7687	7	DOT_FLIP	N/A	1
6.9837	0	8	TRIGGER	3.1416	0
7.8655	0	9	TRIGGER	3.1416	0
6.5496	1.4828	9	KEYPRESS	0.3925	1
8.6155	2.4504	9	DOT_FLIP	N/A	0
8.7323	0	10	TRIGGER	3.1416	0
9.6156	0	11	TRIGGER	3.1416	0
10.4822	0	12	TRIGGER	3.1416	0
11.1158	2.4972	12	DOT_FLIP	N/A	1
11.3655	0	13	TRIGGER	3.1416	0
12.2321	0	14	TRIGGER	3.1416	0
12.9815	1.8695	14	DOT_FLIP	N/A	0
13.1148	0	15	TRIGGER	3.1416	0
11.5822	1.7827	15	KEYPRESS	0.4776	1
13.9816	0	16	TRIGGER	3.1416	0
14.8483	0	17	TRIGGER	3.4081	0
15.1151	2.1387	17	DOT_FLIP	N/A	1
15.7315	0	18	TRIGGER	3.6856	0
16.5983	0	19	TRIGGER	3.9579	0
16.7316	1.6130	19	DOT_FLIP	N/A	0
15.5149	1.7667	19	KEYPRESS	0.4021	1
17.4810	0	20	TRIGGER	4.2352	0
18.3476	0	21	TRIGGER	4.5074	0
19.2304	0	22	TRIGGER	4.7848	0
19.3977	2.6612	22	DOT_FLIP	N/A	1
20.0976	0	23	TRIGGER	5.0572	0
20.9811	0	24	TRIGGER	5.3348	0
21.1977	1.7984	24	DOT_FLIP	N/A	0
19.7478	2.0999	24	KEYPRESS	0.3609	1
21.8477	0	25	TRIGGER	5.6070	0
22.0310	0.8375	25	DOT_FLIP	N/A	1
22.7138	0	26	TRIGGER	5.8791	0
23.4805	1.4464	26	DOT_FLIP	N/A	0
23.5972	0	27	TRIGGER	6.1567	0
22.4971	1.3996	27	KEYPRESS	0.4743	1
24.4639	0	28	TRIGGER	0.1457	1
24.8473	1.3739	28	DOT_FLIP	N/A	1
25.3473	0	29	TRIGGER	0.4233	1
26.2139	0	30	TRIGGER	0.6955	1
27.0966	0	31	TRIGGER	0.9728	1
27.3638	2.5060	31	DOT_FLIP	N/A	0
24.8806	2.8493	31	KEYPRESS	0.0375	1
27.9632	0	32	TRIGGER	1.2451	1
28.8464	0	33	TRIGGER	1.5226	1
28.9132	1.5544	33	DOT_FLIP	N/A	1
29.7139	0	34	TRIGGER	1.7951	1
30.4132	1.4951	34	DOT_FLIP	N/A	0
30.5799	0	35	TRIGGER	2.0671	1
29.3466	1.9501	35	KEYPRESS	0.4431	1
31.3467	0.9372	35	DOT_FLIP	N/A	1
31.4632	0	36	TRIGGER	2.3446	1
32.3306	0	37	TRIGGER	2.6171	1
32.7960	1.4544	37	DOT_FLIP	N/A	0
33.2128	0	38	TRIGGER	2.8943	1
32.0634	1.2993	38	KEYPRESS	0.7275	1
33.9461	1.1537	38	DOT_FLIP	N/A	1
34.0795	0	39	TRIGGER	3.1666	1
34.9627	0	40	TRIGGER	3.4440	1
35.4129	1.4536	40	DOT_FLIP	N/A	0
34.3126	1.4334	40	KEYPRESS	0.3686	1
35.8296	0	41	TRIGGER	3.7164	1
36.7125	0	42	TRIGGER	3.9938	1
37.5788	0	43	TRIGGER	4.2659	1
37.7287	2.3207	43	DOT_FLIP	N/A	1
38.4455	0	44	TRIGGER	4.5382	1
38.7288	0.9952	44	DOT_FLIP	N/A	0
39.3288	0	45	TRIGGER	4.8157	1
38.0289	1.3333	45	KEYPRESS	0.3105	1
40.1954	0	46	TRIGGER	5.0879	1
40.9955	2.2723	46	DOT_FLIP	N/A	1
41.0787	0	47	TRIGGER	5.3654	1
41.9456	0	48	TRIGGER	5.6378	1
42.8281	0	49	TRIGGER	5.9150	1
43.1949	2.2065	49	DOT_FLIP	N/A	0
41.2956	2.2659	49	KEYPRESS	0.3097	1
43.6949	0	50	TRIGGER	6.1873	1
44.5783	0	51	TRIGGER	0.1817	2
45.1115	1.9093	51	DOT_FLIP	N/A	1
45.4450	0	52	TRIGGER	0.4540	2
46.3116	0	53	TRIGGER	0.7262	2
47.1949	0	54	TRIGGER	1.0037	2
45.4107	2.0175	54	KEYPRESS	0.3091	1
47.7111	2.5933	54	DOT_FLIP	N/A	0
48.0610	0	55	TRIGGER	1.2758	2
48.8277	1.1225	55	DOT_FLIP	N/A	1
48.9445	0	56	TRIGGER	1.5534	2
49.8110	0	57	TRIGGER	1.8256	2
49.9116	1.0859	57	DOT_FLIP	N/A	0
50.6945	0	58	TRIGGER	2.1031	2
51.5611	0	59	TRIGGER	2.3754	2
49.6276	2.1502	59	KEYPRESS	0.8102	1
51.9110	1.9993	59	DOT_FLIP	N/A	1
52.4276	0	60	TRIGGER	2.6476	2
53.3104	0	61	TRIGGER	2.9250	2
53.9772	2.0635	61	DOT_FLIP	N/A	0
54.1771	0	62	TRIGGER	3.1972	2
52.5603	1.8502	62	KEYPRESS	0.6578	1
54.8604	0.8810	62	DOT_FLIP	N/A	1
55.0603	0	63	TRIGGER	3.4747	2
55.9272	0	64	TRIGGER	3.7470	2
56.7939	1.9405	64	DOT_FLIP	N/A	0
56.8107	0	65	TRIGGER	4.0246	2
55.4105	1.9167	65	KEYPRESS	0.5635	1
57.6765	0	66	TRIGGER	4.2966	2
58.3098	1.5109	66	DOT_FLIP	N/A	1
58.5599	0	67	TRIGGER	4.5741	2
59.4261	0	68	TRIGGER	4.8463	2
60.2099	1.8978	68	DOT_FLIP	N/A	0
60.2932	0	69	TRIGGER	5.1187	2
58.6599	2.0501	69	KEYPRESS	0.3614	1
61.1431	0.9405	69	DOT_FLIP	N/A	1
61.1765	0	70	TRIGGER	5.3962	2
62.0444	0	71	TRIGGER	5.6688	2
62.9255	0	72	TRIGGER	5.9456	2
63.4260	2.2763	72	DOT_FLIP	N/A	0
63.7915	0	73	TRIGGER	6.2177	2
61.5766	2.3320	73	KEYPRESS	0.4398	1
64.3261	0.9110	73	DOT_FLIP	N/A	1
64.6759	0	74	TRIGGER	0.2124	3
65.5438	1.2124	74	DOT_FLIP	N/A	0
65.5438	0	75	TRIGGER	0.4850	3
64.9094	1.3999	75	KEYPRESS	0.5852	1
66.4260	0	76	TRIGGER	0.7622	3
66.7593	1.2136	76	DOT_FLIP	N/A	1
67.2926	0	77	TRIGGER	1.0344	3
68.1754	0	78	TRIGGER	1.3117	3
69.0421	0	79	TRIGGER	1.5840	3
69.7087	2.9456	79	DOT_FLIP	N/A	0
69.9090	0	80	TRIGGER	1.8564	3
67.1593	2.8828	80	KEYPRESS	0.4092	1
70.7922	0	81	TRIGGER	2.1338	3
71.6587	0	82	TRIGGER	2.4060	3
71.6762	1.9733	82	DOT_FLIP	N/A	1
72.5427	0	83	TRIGGER	2.6838	3
73.4080	0	84	TRIGGER	2.9556	3
73.5250	1.8556	84	DOT_FLIP	N/A	0
71.9754	1.8663	84	KEYPRESS	0.3065	1
74.2917	0	85	TRIGGER	3.2332	3
75.1582	0	86	TRIGGER	3.5055	3
76.0249	0	87	TRIGGER	3.7777	3
75.1082	1.0334	87	KEYPRESS	1.5837	1
76.2915	2.7528	87	DOT_FLIP	N/A	1
76.9083	0	88	TRIGGER	4.0553	3
77.7740	0	89	TRIGGER	4.3272	3
78.6577	0	90	TRIGGER	4.6048	3
78.7909	2.5038	90	DOT_FLIP	N/A	0
76.6917	2.4826	90	KEYPRESS	0.4143	1
79.5244	0	91	TRIGGER	4.8771	3
80.4076	0	92	TRIGGER	5.1546	3
80.7576	1.9753	92	DOT_FLIP	N/A	1
81.2744	0	93	TRIGGER	5.4269	3
82.1577	0	94	TRIGGER	5.7044	3
82.3910	1.6279	94	DOT_FLIP	N/A	0
81.0742	1.8660	94	KEYPRESS	0.3178	1
83.0236	0	95	TRIGGER	5.9764	3
83.2901	0.8952	95	DOT_FLIP	N/A	1
83.9068	0	96	TRIGGER	6.2539	3
84.7744	0	97	TRIGGER	0.2433	4
85.4735	2.1890	97	DOT_FLIP	N/A	0
85.6402	0	98	TRIGGER	0.5153	4
84.0402	1.8833	98	KEYPRESS	0.7606	1
86.5236	0	99	TRIGGER	0.7928	4
87.0070	1.5219	99	DOT_FLIP	N/A	1
87.4070	0	100	TRIGGER	1.0703	4
88.0899	1.0837	100	DOT_FLIP	N/A	0
88.2731	0	101	TRIGGER	1.3424	4
87.3736	1.4495	101	KEYPRESS	0.3831	1
89.1399	0	102	TRIGGER	1.6147	4
90.0227	0	103	TRIGGER	1.8921	4
90.8900	0	104	TRIGGER	2.1645	4
91.0233	2.9359	104	DOT_FLIP	N/A	1
91.7731	0	105	TRIGGER	2.4420	4
91.9892	0.9784	105	DOT_FLIP	N/A	0
92.6398	0	106	TRIGGER	2.7143	4
91.2898	1.3830	106	KEYPRESS	0.2797	1
93.5060	0	107	TRIGGER	2.9864	4
94.3893	0	108	TRIGGER	3.2639	4
94.8061	2.8163	108	DOT_FLIP	N/A	1
95.2560	0	109	TRIGGER	3.5362	4
96.1392	0	110	TRIGGER	3.8137	4
96.6559	1.8371	110	DOT_FLIP	N/A	0
97.0060	0	111	TRIGGER	4.0859	4
95.0727	1.9996	111	KEYPRESS	0.2680	1
97.8888	0	112	TRIGGER	4.3633	4
98.7555	0	113	TRIGGER	4.6356	4
99.5222	2.8726	113	DOT_FLIP	N/A	1
99.6390	0	114	TRIGGER	4.9131	4
100.5054	0	115	TRIGGER	5.1853	4
101.0721	1.5482	115	DOT_FLIP	N/A	0
101.3721	0	116	TRIGGER	5.4576	4
99.8879	1.6341	116	KEYPRESS	0.3735	1
102.2555	0	117	TRIGGER	5.7351	4
