onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8667	0	1	TRIGGER	3.1416	-1
1.1661	1.1627	1	DOT_FLIP	N/A	1
1.7494	0	2	TRIGGER	3.1416	-1
1.5829	0.2001	2	KEYPRESS	0.4202	4
2.6161	0	3	TRIGGER	3.1416	-1
3.4994	0	4	TRIGGER	3.1416	-1
3.7495	2.5844	4	DOT_FLIP	N/A	0
4.1494	0.1835	4	KEYPRESS	0.4023	4
4.3661	0	5	TRIGGER	3.1416	-1
4.8495	1.1012	5	DOT_FLIP	N/A	1
5.2327	0	6	TRIGGER	3.1416	-1
5.4496	0.1665	6	KEYPRESS	0.6012	2
6.1155	0	7	TRIGGER	3.1416	-1
6.9823	0	8	TRIGGER	3.1416	-1
7.1490	2.2959	8	DOT_FLIP	N/A	0
7.4989	0.1834	8	KEYPRESS	0.3547	4
7.8656	0	9	TRIGGER	3.1416	-1
8.7323	0	10	TRIGGER	3.1416	-1
9.6155	0	11	TRIGGER	3.1416	0
10.0657	2.9119	11	DOT_FLIP	N/A	1
10.4825	0	12	TRIGGER	3.1416	0
10.3984	0.2005	12	KEYPRESS	0.3423	2
11.3650	0	13	TRIGGER	3.1416	0
11.6482	1.5780	13	DOT_FLIP	N/A	0
12.0151	0.1832	13	KEYPRESS	0.3811	4
12.2317	0	14	TRIGGER	3.1416	0
13.0985	0	15	TRIGGER	3.1416	0
13.3650	1.7307	15	DOT_FLIP	N/A	1
13.7484	0.1666	15	KEYPRESS	0.3836	2
13.9816	0	16	TRIGGER	3.1416	0
14.8485	0	17	TRIGGER	3.6747	0
15.3983	2.0206	17	DOT_FLIP	N/A	0
15.7317	0	18	TRIGGER	4.2296	0
15.7650	0.1167	18	KEYPRESS	0.3796	4
16.4979	1.1087	18	DOT_FLIP	N/A	1
16.5979	0	19	TRIGGER	4.7739	0
16.8976	0.1503	19	KEYPRESS	0.4034	2
17.4812	0	20	TRIGGER	5.3289	0
18.0312	1.5224	20	DOT_FLIP	N/A	0
18.3480	0	21	TRIGGER	5.8735	0
18.4312	0.1499	21	KEYPRESS	0.4147	4
19.2310	0	22	TRIGGER	0.1452	1
19.7310	1.7095	22	DOT_FLIP	N/A	1
20.1311	0	23	TRIGGER	0.7107	1
20.0979	0.1333	23	KEYPRESS	0.3719	2
20.9645	0	24	TRIGGER	1.2343	1
21.2304	1.4905	24	DOT_FLIP	N/A	0
21.5973	0.1499	24	KEYPRESS	0.3808	4
21.8468	0	25	TRIGGER	1.7887	1
22.7140	0	26	TRIGGER	2.3336	1
23.5306	2.3083	26	DOT_FLIP	N/A	1
23.5972	0	27	TRIGGER	2.8885	1
23.8806	0.1666	27	KEYPRESS	0.3558	2
24.3474	0.8223	27	DOT_FLIP	N/A	0
24.4640	0	28	TRIGGER	3.4331	1
24.8639	0.1833	28	KEYPRESS	0.5168	4
25.3472	0	29	TRIGGER	3.9881	1
25.5472	1.1906	29	DOT_FLIP	N/A	1
25.9305	0.1666	29	KEYPRESS	0.3928	2
26.2133	0	30	TRIGGER	4.5322	1
26.8633	1.3252	30	DOT_FLIP	N/A	0
27.0800	0	31	TRIGGER	5.0768	1
27.2132	0.1668	31	KEYPRESS	0.3503	4
27.9634	0	32	TRIGGER	5.6319	1
28.8299	0	33	TRIGGER	6.1763	1
