onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8829	0	1	TRIGGER	3.1416	-3
1.7499	0	2	TRIGGER	3.1416	-2
2.0997	2.0881	2	DOT_FLIP	N/A	1
2.6327	0	3	TRIGGER	3.1416	-2
2.6990	0.1835	3	KEYPRESS	0.6109	3
3.4991	0	4	TRIGGER	3.1416	-2
4.3824	0	5	TRIGGER	3.1416	-2
4.5157	2.4112	5	DOT_FLIP	N/A	0
4.8492	0.1500	5	KEYPRESS	0.3500	3
5.2493	0	6	TRIGGER	3.1416	-2
5.9494	1.4361	6	DOT_FLIP	N/A	1
6.1329	0	7	TRIGGER	3.1416	-2
6.2826	0.1667	7	KEYPRESS	0.3473	3
6.9993	0	8	TRIGGER	3.1416	-1
7.8653	0	9	TRIGGER	3.1416	-1
8.2321	0.4336	9	KEYPRESS	2.2968	3
8.7490	0	10	TRIGGER	3.1416	-1
8.9153	2.9683	10	DOT_FLIP	N/A	0
9.2322	0.1665	10	KEYPRESS	0.3285	3
9.6155	0	11	TRIGGER	3.1416	-1
9.8822	0.9642	11	DOT_FLIP	N/A	1
10.2319	0.1668	11	KEYPRESS	0.3641	3
10.4985	0	12	TRIGGER	3.1416	-1
11.3653	0	13	TRIGGER	3.1416	-1
12.0822	2.2025	13	DOT_FLIP	N/A	0
12.2489	0	14	TRIGGER	3.1416	0
12.4153	0.1333	14	KEYPRESS	0.3449	3
13.1148	0	15	TRIGGER	3.1416	0
13.9481	1.8664	15	DOT_FLIP	N/A	1
13.9814	0	16	TRIGGER	3.1416	0
14.2816	0.1498	16	KEYPRESS	0.3449	3
14.8647	0	17	TRIGGER	4.2282	0
15.4480	1.5036	17	DOT_FLIP	N/A	0
15.7316	0	18	TRIGGER	5.3176	0
15.8482	0.1497	18	KEYPRESS	0.4079	3
16.6148	0	19	TRIGGER	0.1442	1
16.7148	1.2584	19	DOT_FLIP	N/A	1
17.1482	0.1501	19	KEYPRESS	0.4495	3
17.4815	0	20	TRIGGER	1.2334	1
17.5979	0.8831	20	DOT_FLIP	N/A	0
18.2140	0.1333	20	KEYPRESS	0.6323	3
18.3808	0	21	TRIGGER	2.3634	1
19.2307	0	22	TRIGGER	3.4315	1
19.2806	1.6889	22	DOT_FLIP	N/A	1
19.6476	0.1497	22	KEYPRESS	0.3770	3
20.1143	0	23	TRIGGER	4.5418	1
20.7142	0.1832	23	KEYPRESS	1.4436	3
20.9809	0	24	TRIGGER	5.6308	1
21.6807	2.3937	24	DOT_FLIP	N/A	0
21.8477	0	25	TRIGGER	0.4370	2
22.7302	0	26	TRIGGER	1.5459	2
23.5970	0	27	TRIGGER	2.6352	2
24.4805	0	28	TRIGGER	3.7454	2
24.6805	2.9995	28	DOT_FLIP	N/A	1
