onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8669	0	1	TRIGGER	3.1416	-3
1.7499	1.7366	1	DOT_FLIP	N/A	1
1.7499	0	2	TRIGGER	3.1416	-2
2.1167	0.1834	2	KEYPRESS	0.3801	1
2.6168	0	3	TRIGGER	3.1416	-2
3.5002	0	4	TRIGGER	3.1416	-2
3.7501	2.0002	4	DOT_FLIP	N/A	0
4.1832	0.1829	4	KEYPRESS	0.4464	1
4.3998	0	5	TRIGGER	3.1416	-2
4.6834	0.9423	5	DOT_FLIP	N/A	1
5.2497	0	6	TRIGGER	3.1416	-2
5.0330	0.2502	6	KEYPRESS	0.3539	1
6.1166	0	7	TRIGGER	3.1416	-2
6.4998	1.8186	7	DOT_FLIP	N/A	0
6.9999	0	8	TRIGGER	3.1416	-1
6.9330	0.1669	8	KEYPRESS	0.4352	1
7.8663	1.3531	8	DOT_FLIP	N/A	1
7.8663	0	9	TRIGGER	3.1416	-1
8.1994	0.1840	9	KEYPRESS	0.3486	1
8.7334	0	10	TRIGGER	3.1416	-1
9.6158	0	11	TRIGGER	3.1416	-1
9.8824	2.0173	11	DOT_FLIP	N/A	0
10.2657	0.2169	11	KEYPRESS	0.3976	1
10.5158	0	12	TRIGGER	3.1416	-1
11.3656	0	13	TRIGGER	3.1416	-1
11.6991	1.8301	13	DOT_FLIP	N/A	1
12.2323	0	14	TRIGGER	3.1416	0
12.1501	0.1990	14	KEYPRESS	0.4518	1
13.1158	0	15	TRIGGER	3.1416	0
13.7160	2.0063	15	DOT_FLIP	N/A	0
13.9822	0	16	TRIGGER	3.1416	0
14.0991	0.1824	16	KEYPRESS	0.3946	1
14.8658	0	17	TRIGGER	4.2296	0
15.3983	1.6936	17	DOT_FLIP	N/A	1
15.7318	0	18	TRIGGER	5.3178	0
15.7650	0.1834	18	KEYPRESS	0.3669	1
16.5984	0	19	TRIGGER	0.1236	1
17.4817	0	20	TRIGGER	1.2336	1
17.8657	2.4602	20	DOT_FLIP	N/A	0
18.3484	0	21	TRIGGER	2.3228	1
