onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8817	0	1	TRIGGER	3.1416	-3
0.9653	0.9547	1	DOT_FLIP	N/A	1
1.4153	0.1840	1	KEYPRESS	0.4606	1
1.7487	0	2	TRIGGER	3.1416	-2
2.6317	0	3	TRIGGER	3.1416	-2
2.8153	1.8499	3	DOT_FLIP	N/A	0
3.2325	0.1660	3	KEYPRESS	0.4279	1
3.4986	0	4	TRIGGER	3.1416	-2
3.8653	1.0559	4	DOT_FLIP	N/A	1
4.3653	0	5	TRIGGER	3.1416	-2
4.2484	0.1500	5	KEYPRESS	0.3879	1
5.2319	1.3686	5	DOT_FLIP	N/A	0
5.2485	0	6	TRIGGER	3.1416	-2
5.6311	0.2000	6	KEYPRESS	0.4020	1
6.1145	0	7	TRIGGER	3.1416	-2
6.7146	1.4773	7	DOT_FLIP	N/A	1
6.9980	0	8	TRIGGER	3.1416	-1
7.1312	0.1673	8	KEYPRESS	0.4249	1
7.8654	0	9	TRIGGER	3.1416	-1
8.5145	1.7990	9	DOT_FLIP	N/A	0
8.7483	0	10	TRIGGER	3.1416	-1
8.9988	0.1829	10	KEYPRESS	0.4935	1
9.6151	0	11	TRIGGER	3.1416	-1
10.4985	0	12	TRIGGER	3.1416	-1
10.7974	2.2915	12	DOT_FLIP	N/A	1
11.1639	0.2002	12	KEYPRESS	0.3670	1
11.3641	0	13	TRIGGER	3.1416	-1
12.0644	1.2529	13	DOT_FLIP	N/A	0
12.2472	0	14	TRIGGER	3.1416	0
12.5809	0.1830	14	KEYPRESS	0.5311	1
13.1141	0	15	TRIGGER	3.1416	0
13.2816	1.2158	15	DOT_FLIP	N/A	1
13.6805	0.1509	15	KEYPRESS	0.4150	1
13.9809	0	16	TRIGGER	3.1416	0
14.7140	1.4341	16	DOT_FLIP	N/A	0
14.8642	0	17	TRIGGER	4.2276	0
15.0639	0.2001	17	KEYPRESS	0.3642	1
15.6301	0.9237	17	DOT_FLIP	N/A	1
15.7300	0	18	TRIGGER	5.3156	0
15.9800	0.1833	18	KEYPRESS	0.3567	1
