onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8500	0	1	TRIGGER	3.1416	-1
1.1667	1.1593	1	DOT_FLIP	N/A	1
1.7334	0	2	TRIGGER	3.1416	-1
1.5659	0.2166	2	KEYPRESS	0.4066	1
2.5984	0	3	TRIGGER	3.1416	-1
3.2985	2.1264	3	DOT_FLIP	N/A	0
3.4820	0	4	TRIGGER	3.1416	-1
3.7154	0.1831	4	KEYPRESS	0.4297	1
4.3486	0	5	TRIGGER	3.1416	-1
5.2316	0	6	TRIGGER	3.1416	-1
6.0985	0	7	TRIGGER	3.1416	-1
6.1159	2.8214	7	DOT_FLIP	N/A	1
6.4820	0.1840	7	KEYPRESS	0.3749	1
6.9822	0	8	TRIGGER	3.1416	-1
7.5480	1.4310	8	DOT_FLIP	N/A	0
7.8478	0	9	TRIGGER	3.1416	-1
7.9650	0.2008	9	KEYPRESS	0.4269	1
8.7150	0	10	TRIGGER	3.1416	-1
9.1155	1.5686	10	DOT_FLIP	N/A	1
9.5979	0	11	TRIGGER	3.1416	0
9.5313	0.2173	11	KEYPRESS	0.4246	1
10.4648	0	12	TRIGGER	3.1416	0
11.3490	0	13	TRIGGER	3.1416	0
11.3815	2.2672	13	DOT_FLIP	N/A	0
11.7813	0.1993	13	KEYPRESS	0.4074	1
12.2141	0	14	TRIGGER	3.1416	0
12.5141	1.1391	14	DOT_FLIP	N/A	1
13.0972	0	15	TRIGGER	3.1416	0
13.0151	0.1833	15	KEYPRESS	0.5021	1
13.8987	1.3782	15	DOT_FLIP	N/A	0
13.9645	0	16	TRIGGER	3.1416	0
14.3814	0.2329	16	KEYPRESS	0.4902	1
14.8473	0	17	TRIGGER	3.6740	0
15.7150	0	18	TRIGGER	4.2192	0
16.3975	2.5023	18	DOT_FLIP	N/A	1
16.5805	0	19	TRIGGER	4.7630	0
16.7973	0.1677	19	KEYPRESS	0.4037	1
17.3469	0.9478	19	DOT_FLIP	N/A	0
17.4634	0	20	TRIGGER	5.3177	0
17.7638	0.1504	20	KEYPRESS	0.4224	1
18.3300	0	21	TRIGGER	5.8622	0
18.8134	1.4567	21	DOT_FLIP	N/A	1
19.2142	0	22	TRIGGER	0.1346	1
19.2469	0.1841	22	KEYPRESS	0.4488	1
19.6467	0.8342	22	DOT_FLIP	N/A	0
20.0811	0	23	TRIGGER	0.6793	1
20.1143	0.1502	23	KEYPRESS	0.4820	1
20.9639	0	24	TRIGGER	1.2339	1
21.1639	1.5299	24	DOT_FLIP	N/A	1
21.6137	0.2167	24	KEYPRESS	0.4514	1
21.8304	0	25	TRIGGER	1.7784	1
22.6296	1.4654	25	DOT_FLIP	N/A	0
22.7138	0	26	TRIGGER	2.3335	1
23.2798	0.2499	26	KEYPRESS	0.6521	1
23.5801	0	27	TRIGGER	2.8777	1
24.4297	1.8006	27	DOT_FLIP	N/A	1
24.4469	0	28	TRIGGER	3.4224	1
24.8469	0.1827	28	KEYPRESS	0.4187	1
25.2630	0.8193	28	DOT_FLIP	N/A	0
25.3297	0	29	TRIGGER	3.9771	1
25.7468	0.1994	29	KEYPRESS	0.4993	1
26.1968	0	30	TRIGGER	4.5219	1
27.0790	0	31	TRIGGER	5.0762	1
27.7964	2.5406	31	DOT_FLIP	N/A	1
27.9464	0	32	TRIGGER	5.6212	1
28.1791	0.2174	32	KEYPRESS	0.3910	1
28.8302	0	33	TRIGGER	6.1765	1
29.6966	0	34	TRIGGER	0.4377	2
30.3134	2.5204	34	DOT_FLIP	N/A	0
30.5633	0	35	TRIGGER	0.9823	2
30.7299	0.1998	35	KEYPRESS	0.4214	1
31.4468	0	36	TRIGGER	1.5374	2
32.2285	1.9066	36	DOT_FLIP	N/A	1
32.3118	0	37	TRIGGER	2.0808	2
32.7461	0.2661	37	KEYPRESS	0.5309	1
33.1954	0	38	TRIGGER	2.6360	2
33.2786	1.0585	38	DOT_FLIP	N/A	0
34.0618	0	39	TRIGGER	3.1805	2
33.9127	0.2333	39	KEYPRESS	0.6390	1
34.9452	0	40	TRIGGER	3.7355	2
35.7285	2.4515	40	DOT_FLIP	N/A	1
35.8120	0	41	TRIGGER	4.2801	2
36.1286	0.2007	41	KEYPRESS	0.4033	1
36.6954	0	42	TRIGGER	4.8351	2
37.3113	1.5825	42	DOT_FLIP	N/A	0
37.5611	0	43	TRIGGER	5.3791	2
37.7945	0.2004	43	KEYPRESS	0.4868	1
38.4444	0	44	TRIGGER	5.9341	2
39.3112	0	45	TRIGGER	0.1955	3
40.1782	2.8627	45	DOT_FLIP	N/A	1
40.1782	0	46	TRIGGER	0.7403	3
40.5612	0.1833	46	KEYPRESS	0.3907	1
41.0611	0	47	TRIGGER	1.2950	3
41.9280	0	48	TRIGGER	1.8397	3
42.1276	1.9438	48	DOT_FLIP	N/A	0
42.4773	0.1668	48	KEYPRESS	0.3630	1
42.8106	0	49	TRIGGER	2.3943	3
43.2275	1.1073	49	DOT_FLIP	N/A	1
43.6776	0	50	TRIGGER	2.9390	3
43.5773	0.1839	50	KEYPRESS	0.3556	1
44.5611	0	51	TRIGGER	3.4942	3
45.2444	2.0155	51	DOT_FLIP	N/A	0
45.4280	0	52	TRIGGER	4.0388	3
45.5943	0.1831	52	KEYPRESS	0.3572	1
46.3109	0	53	TRIGGER	4.5936	3
46.6107	1.3630	53	DOT_FLIP	N/A	1
46.9616	0.1819	53	KEYPRESS	0.3614	1
47.1767	0	54	TRIGGER	5.1376	3
48.0436	0	55	TRIGGER	5.6822	3
48.5598	1.9464	55	DOT_FLIP	N/A	0
48.9434	0	56	TRIGGER	6.2476	3
48.9102	0.1831	56	KEYPRESS	0.3636	1
49.7946	0	57	TRIGGER	0.4992	4
50.6611	2.1065	57	DOT_FLIP	N/A	1
50.6769	0	58	TRIGGER	1.0536	4
51.0435	0.1834	58	KEYPRESS	0.3904	1
51.5439	0	59	TRIGGER	1.5984	4
52.1427	1.4884	59	DOT_FLIP	N/A	0
52.4266	0	60	TRIGGER	2.1530	4
52.5264	0.1666	60	KEYPRESS	0.3849	1
53.2930	0	61	TRIGGER	2.6974	4
54.1767	0	62	TRIGGER	3.2526	4
54.2762	2.1336	62	DOT_FLIP	N/A	1
54.6931	0.1829	62	KEYPRESS	0.4179	1
55.0431	0	63	TRIGGER	3.7970	4
55.0932	0.8091	63	DOT_FLIP	N/A	0
55.5929	0.1835	63	KEYPRESS	0.5086	1
55.9099	0	64	TRIGGER	4.3416	4
56.7932	0	65	TRIGGER	4.8966	4
57.1589	2.0629	65	DOT_FLIP	N/A	1
57.6592	0	66	TRIGGER	5.4407	4
57.5425	0.1841	66	KEYPRESS	0.3954	1
58.5423	0	67	TRIGGER	5.9956	4
58.7924	1.6434	67	DOT_FLIP	N/A	0
59.1933	0.1991	67	KEYPRESS	0.4027	1
59.4259	0	68	TRIGGER	0.2676	5
59.9265	1.1285	68	DOT_FLIP	N/A	1
60.2923	0	69	TRIGGER	0.8120	5
60.3924	0.2002	69	KEYPRESS	0.4734	1
61.0432	1.1228	69	DOT_FLIP	N/A	0
61.1590	0	70	TRIGGER	1.3565	5
61.4423	0.1670	70	KEYPRESS	0.4005	1
62.0424	0	71	TRIGGER	1.9116	5
62.9086	0	72	TRIGGER	2.4558	5
63.2585	2.2029	72	DOT_FLIP	N/A	1
63.7761	0	73	TRIGGER	3.0009	5
63.6919	0.2008	73	KEYPRESS	0.4472	1
64.6588	0	74	TRIGGER	3.5555	5
64.8261	1.5752	74	DOT_FLIP	N/A	0
65.5265	0	75	TRIGGER	4.1007	5
65.5093	0.2168	75	KEYPRESS	0.6893	1
66.4084	0	76	TRIGGER	4.6548	5
66.9591	2.1256	76	DOT_FLIP	N/A	1
67.2749	0	77	TRIGGER	5.1993	5
67.3412	0.1499	77	KEYPRESS	0.3957	1
68.1587	0	78	TRIGGER	5.7546	5
68.3755	1.4152	78	DOT_FLIP	N/A	0
68.8245	0.1843	78	KEYPRESS	0.4638	1
69.0416	0	79	TRIGGER	0.0261	6
69.5246	1.1497	79	DOT_FLIP	N/A	1
69.8923	0	80	TRIGGER	0.5606	6
69.9247	0.1509	80	KEYPRESS	0.4144	1
70.7751	0	81	TRIGGER	1.1153	6
70.8414	1.3250	81	DOT_FLIP	N/A	0
71.2753	0.1662	81	KEYPRESS	0.4399	1
71.6423	0	82	TRIGGER	1.6602	6
72.5239	0	83	TRIGGER	2.2141	6
73.2407	2.3981	83	DOT_FLIP	N/A	1
73.3909	0	84	TRIGGER	2.7589	6
73.7740	0.1502	84	KEYPRESS	0.5406	1
74.2748	0	85	TRIGGER	3.3143	6
75.1409	0	86	TRIGGER	3.8584	6
76.0242	0	87	TRIGGER	4.4134	6
76.1908	2.9438	87	DOT_FLIP	N/A	0
76.6079	0.1338	87	KEYPRESS	0.4306	1
76.8906	0	88	TRIGGER	4.9578	6
77.6901	1.4996	88	DOT_FLIP	N/A	1
77.7734	0	89	TRIGGER	5.5125	6
78.0736	0.1502	89	KEYPRESS	0.3967	1
78.6402	0	90	TRIGGER	6.0571	6
79.5073	0	91	TRIGGER	0.3187	7
79.8745	2.1892	91	DOT_FLIP	N/A	0
80.3903	0	92	TRIGGER	0.8735	7
80.3574	0.1829	92	KEYPRESS	0.4914	1
80.8414	0.9628	92	DOT_FLIP	N/A	1
81.2569	0	93	TRIGGER	1.4181	7
81.2901	0.1335	93	KEYPRESS	0.4613	1
82.1403	0	94	TRIGGER	1.9731	7
82.2895	0.1667	94	KEYPRESS	1.4607	1
83.0071	0	95	TRIGGER	2.5177	7
83.5239	2.6794	95	DOT_FLIP	N/A	0
83.8896	0	96	TRIGGER	3.0722	7
83.9227	0.1167	96	KEYPRESS	0.4145	1
84.7562	0	97	TRIGGER	3.6167	7
85.0396	1.5262	97	DOT_FLIP	N/A	1
85.6400	0	98	TRIGGER	4.1721	7
85.4736	0.1840	98	KEYPRESS	0.4392	1
86.5071	0	99	TRIGGER	4.7169	7
87.3059	2.2559	99	DOT_FLIP	N/A	0
87.3722	0	100	TRIGGER	5.2604	7
87.6389	0.2168	100	KEYPRESS	0.3486	1
88.2229	0.9237	100	DOT_FLIP	N/A	1
88.2566	0	101	TRIGGER	5.8161	7
88.7060	0.1831	101	KEYPRESS	0.4920	1
89.1233	0	102	TRIGGER	0.0775	8
90.0058	0	103	TRIGGER	0.6319	8
90.8723	0	104	TRIGGER	1.1764	8
91.0559	2.8273	104	DOT_FLIP	N/A	0
91.5565	0.1659	104	KEYPRESS	0.5152	1
91.7553	0	105	TRIGGER	1.7312	8
