onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8819	0	1	TRIGGER	3.1416	-3
1.5981	1.5840	1	DOT_FLIP	N/A	1
1.7484	0	2	TRIGGER	3.1416	-2
1.9648	0.1834	2	KEYPRESS	0.3808	1
2.6316	0	3	TRIGGER	3.1416	-2
3.4156	1.8181	3	DOT_FLIP	N/A	0
3.4984	0	4	TRIGGER	3.1416	-2
3.7822	0.1829	4	KEYPRESS	0.3801	1
4.3650	0	5	TRIGGER	3.1416	-2
5.2480	0	6	TRIGGER	3.1416	-2
5.7141	2.3048	6	DOT_FLIP	N/A	1
6.1144	0	7	TRIGGER	3.1416	-2
6.0477	0.1832	7	KEYPRESS	0.3408	1
6.9980	0	8	TRIGGER	3.1416	-1
7.2812	1.5684	8	DOT_FLIP	N/A	0
7.6312	0.1508	8	KEYPRESS	0.3559	1
7.8649	0	9	TRIGGER	3.1416	-1
8.7478	0	10	TRIGGER	3.1416	-1
9.4646	2.1846	10	DOT_FLIP	N/A	1
9.6144	0	11	TRIGGER	3.1416	-1
9.7810	0.1335	11	KEYPRESS	0.3211	1
10.4982	0	12	TRIGGER	3.1416	-1
11.3643	0	13	TRIGGER	3.1416	-1
11.8481	2.3762	13	DOT_FLIP	N/A	0
12.2471	0	14	TRIGGER	3.1416	0
12.2641	0.1338	14	KEYPRESS	0.4280	1
13.1146	0	15	TRIGGER	3.1416	0
13.9812	0	16	TRIGGER	3.1416	0
14.8473	2.9998	16	DOT_FLIP	N/A	1
14.8638	0	17	TRIGGER	4.2270	0
15.1972	0.1500	17	KEYPRESS	0.3613	1
15.7300	0	18	TRIGGER	5.3155	0
16.5464	1.7053	18	DOT_FLIP	N/A	0
16.6139	0	19	TRIGGER	0.1431	1
16.9634	0.1503	19	KEYPRESS	0.4221	1
17.4808	0	20	TRIGGER	1.2325	1
17.9634	1.4059	20	DOT_FLIP	N/A	1
18.3802	0	21	TRIGGER	2.3627	1
18.3467	0.1499	21	KEYPRESS	0.3996	1
19.2307	0	22	TRIGGER	3.4315	1
20.0965	0	23	TRIGGER	4.5195	1
20.3973	2.4341	23	DOT_FLIP	N/A	0
20.7793	0.1335	23	KEYPRESS	0.3980	1
20.9801	0	24	TRIGGER	5.6298	1
21.8461	0	25	TRIGGER	0.4349	2
22.7303	0	26	TRIGGER	1.5461	2
22.9459	2.5603	26	DOT_FLIP	N/A	1
23.2636	0.1662	26	KEYPRESS	0.3220	1
23.5965	0	27	TRIGGER	2.6346	2
24.4804	0	28	TRIGGER	3.7452	2
25.3464	0	29	TRIGGER	4.8336	2
25.9289	2.9786	29	DOT_FLIP	N/A	0
26.2297	0	30	TRIGGER	5.9435	2
26.2954	0.1670	30	KEYPRESS	0.3752	1
26.8465	0.9098	30	DOT_FLIP	N/A	1
27.0955	0	31	TRIGGER	0.7483	3
27.3624	0.1329	31	KEYPRESS	0.5324	1
27.9787	0	32	TRIGGER	1.8582	3
28.8463	0	33	TRIGGER	2.9484	3
29.4623	2.6241	33	DOT_FLIP	N/A	0
29.7122	0	34	TRIGGER	4.0365	3
29.8954	0.1500	34	KEYPRESS	0.4412	1
30.5954	0	35	TRIGGER	5.1464	3
31.4615	0	36	TRIGGER	6.2348	3
32.1791	2.7109	36	DOT_FLIP	N/A	1
32.3448	0	37	TRIGGER	1.0616	4
32.5448	0.1666	37	KEYPRESS	0.3797	1
33.2119	0	38	TRIGGER	2.1513	4
34.0284	1.8467	38	DOT_FLIP	N/A	0
34.0948	0	39	TRIGGER	3.2607	4
34.4616	0.1337	39	KEYPRESS	0.4498	1
34.9615	0	40	TRIGGER	4.3498	4
35.8441	0	41	TRIGGER	5.4590	4
36.0442	2.0215	41	DOT_FLIP	N/A	1
36.3946	0.1666	41	KEYPRESS	0.3613	1
36.7117	0	42	TRIGGER	0.2660	5
37.5785	0	43	TRIGGER	1.3552	5
37.6942	1.6593	43	DOT_FLIP	N/A	0
38.1443	0.1502	43	KEYPRESS	0.4517	1
38.4611	0	44	TRIGGER	2.4644	5
39.3277	0	45	TRIGGER	3.5534	5
40.2108	2.5176	45	DOT_FLIP	N/A	1
40.2108	0	46	TRIGGER	4.6631	5
40.5448	0.1829	46	KEYPRESS	0.3346	1
41.0780	0	47	TRIGGER	5.7529	5
41.1775	0.9544	47	DOT_FLIP	N/A	0
41.6612	0.1824	47	KEYPRESS	0.4966	1
41.9604	0	48	TRIGGER	0.5785	6
42.8270	0	49	TRIGGER	1.6676	6
43.0106	1.8399	49	DOT_FLIP	N/A	1
43.3438	0.1337	49	KEYPRESS	0.3393	1
43.6936	0	50	TRIGGER	2.7566	6
44.5770	0	51	TRIGGER	3.8667	6
45.0103	1.9914	51	DOT_FLIP	N/A	0
45.4437	0	52	TRIGGER	4.9558	6
45.3771	0.1333	52	KEYPRESS	0.3812	1
46.3265	0	53	TRIGGER	6.0652	6
47.1936	0	54	TRIGGER	0.8716	7
47.2599	2.2632	54	DOT_FLIP	N/A	1
47.6597	0.1511	54	KEYPRESS	0.4007	1
48.0764	0	55	TRIGGER	1.9810	7
48.5600	1.2878	55	DOT_FLIP	N/A	0
48.9432	0	56	TRIGGER	3.0702	7
48.9931	0.1500	56	KEYPRESS	0.4463	1
49.5271	0.9771	56	DOT_FLIP	N/A	1
49.8264	0	57	TRIGGER	4.1800	7
49.9763	0.1344	57	KEYPRESS	0.4523	1
50.3765	0.8506	57	DOT_FLIP	N/A	0
50.6933	0	58	TRIGGER	5.2694	7
50.8261	0.1331	58	KEYPRESS	0.4516	1
51.5758	0	59	TRIGGER	0.0953	8
52.4433	0	60	TRIGGER	1.1854	8
53.3102	0	61	TRIGGER	2.2747	8
53.3590	2.9682	61	DOT_FLIP	N/A	1
53.7425	0.1677	61	KEYPRESS	0.3997	1
54.1926	0	62	TRIGGER	3.3837	8
54.5424	1.1980	62	DOT_FLIP	N/A	0
55.0760	0	63	TRIGGER	4.4937	8
55.0426	0.1501	63	KEYPRESS	0.5019	1
55.9426	0	64	TRIGGER	5.5827	8
56.7097	2.1603	64	DOT_FLIP	N/A	1
56.8087	0	65	TRIGGER	0.3879	9
57.1263	0.1663	65	KEYPRESS	0.4252	1
57.6922	0	66	TRIGGER	1.4981	9
58.5588	0	67	TRIGGER	2.5872	9
58.9253	2.2160	67	DOT_FLIP	N/A	0
59.4421	0	68	TRIGGER	3.6971	9
59.4595	0.1325	68	KEYPRESS	0.5424	1
60.3097	0	69	TRIGGER	4.7874	9
61.1748	0	70	TRIGGER	5.8746	9
61.5590	2.6311	70	DOT_FLIP	N/A	1
62.0581	0	71	TRIGGER	0.7013	10
61.9915	0.1670	71	KEYPRESS	0.4433	1
62.9258	0	72	TRIGGER	1.7917	10
63.8082	0	73	TRIGGER	2.9006	10
64.1257	2.5681	73	DOT_FLIP	N/A	0
64.6920	0	74	TRIGGER	4.0111	10
64.6748	0.1499	74	KEYPRESS	0.5585	1
65.5581	0	75	TRIGGER	5.0996	10
66.4241	0	76	TRIGGER	6.1878	10
66.8743	2.7484	76	DOT_FLIP	N/A	1
67.2918	0	77	TRIGGER	0.9950	11
67.2418	0.1669	77	KEYPRESS	0.3772	1
68.1743	0	78	TRIGGER	2.1040	11
68.8918	2.0200	78	DOT_FLIP	N/A	0
69.0410	0	79	TRIGGER	3.1931	11
69.2910	0.1507	79	KEYPRESS	0.4063	1
69.9251	0	80	TRIGGER	4.3041	11
70.1079	1.2137	80	DOT_FLIP	N/A	1
70.4910	0.1335	80	KEYPRESS	0.3926	1
70.7915	0	81	TRIGGER	5.3929	11
71.0245	0.9190	81	DOT_FLIP	N/A	0
71.5241	0.1494	81	KEYPRESS	0.5066	1
71.7068	0	82	TRIGGER	0.2599	12
72.5412	0	83	TRIGGER	1.3084	12
73.0236	2.0011	83	DOT_FLIP	N/A	1
73.4237	0	84	TRIGGER	2.4173	12
73.4582	0.1330	84	KEYPRESS	0.4396	1
74.2911	0	85	TRIGGER	3.5074	12
75.1580	0	86	TRIGGER	4.5968	12
75.8739	2.8524	86	DOT_FLIP	N/A	0
76.0405	0	87	TRIGGER	5.7058	12
76.3407	0.1326	87	KEYPRESS	0.4697	1
76.9065	0	88	TRIGGER	0.5108	13
77.7898	0	89	TRIGGER	1.6208	13
78.5733	2.6999	89	DOT_FLIP	N/A	1
78.6572	0	90	TRIGGER	2.7108	13
78.9399	0.1666	90	KEYPRESS	0.3690	1
79.5408	0	91	TRIGGER	3.8211	13
80.1907	1.6147	91	DOT_FLIP	N/A	0
80.4065	0	92	TRIGGER	4.9090	13
