onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8667	0	1	TRIGGER	3.1416	-1
1.7501	0	2	TRIGGER	3.1416	-1
2.2166	2.2126	2	DOT_FLIP	N/A	1
2.6168	0	3	TRIGGER	3.1416	-1
3.5001	0	4	TRIGGER	3.1416	-1
3.9333	1.7054	4	DOT_FLIP	N/A	0
4.1668	0.1663	4	KEYPRESS	0.2488	1
4.3664	0	5	TRIGGER	3.1416	-1
5.0821	1.1592	5	DOT_FLIP	N/A	1
5.2494	0	6	TRIGGER	3.1416	-1
5.2162	0.1495	6	KEYPRESS	0.1390	1
5.7495	0.1666	6	KEYPRESS	0.6724	1
6.1163	0	7	TRIGGER	3.1416	-1
6.9828	0	8	TRIGGER	3.1416	-1
7.8660	0	9	TRIGGER	3.1416	-1
7.9161	2.8268	9	DOT_FLIP	N/A	0
8.2825	0.1671	9	KEYPRESS	0.3786	1
8.7155	0.8066	9	DOT_FLIP	N/A	1
8.7321	0	10	TRIGGER	3.1416	-1
9.0826	0.2003	10	KEYPRESS	0.3720	1
9.6159	0	11	TRIGGER	3.1416	0
9.7152	0.9904	11	DOT_FLIP	N/A	0
10.0989	0.1997	11	KEYPRESS	0.3980	1
10.4821	0	12	TRIGGER	3.1416	0
11.3651	0	13	TRIGGER	3.1416	0
11.7156	0.0832	13	KEYPRESS	2.0146	1
11.8986	2.1956	13	DOT_FLIP	N/A	1
12.2321	0	14	TRIGGER	3.1416	0
13.1155	0	15	TRIGGER	3.1416	0
13.7322	1.8279	15	DOT_FLIP	N/A	0
13.9820	0	16	TRIGGER	3.1416	0
14.0321	0.1666	16	KEYPRESS	0.3077	1
14.8480	0	17	TRIGGER	3.6744	0
15.3147	1.5827	17	DOT_FLIP	N/A	1
15.7314	0	18	TRIGGER	4.2295	0
15.6147	0.1833	18	KEYPRESS	0.3076	1
16.5981	0	19	TRIGGER	4.7740	0
17.4814	0	20	TRIGGER	5.3290	0
17.6314	2.3091	20	DOT_FLIP	N/A	0
17.8981	0.1666	20	KEYPRESS	0.2818	1
18.3481	0	21	TRIGGER	5.8736	0
19.2314	0	22	TRIGGER	0.1454	1
20.0976	0	23	TRIGGER	0.6897	1
20.4976	2.8656	23	DOT_FLIP	N/A	1
20.9643	0	24	TRIGGER	1.2342	1
20.8476	0.1835	24	KEYPRESS	0.3657	1
21.8477	0	25	TRIGGER	1.7893	1
22.7142	0	26	TRIGGER	2.3337	1
23.4148	2.9247	26	DOT_FLIP	N/A	0
23.5978	0	27	TRIGGER	2.8889	1
23.7642	0.1669	27	KEYPRESS	0.3575	1
24.4643	0	28	TRIGGER	3.4334	1
25.3473	0	29	TRIGGER	3.9881	1
25.8472	2.4286	29	DOT_FLIP	N/A	1
26.2137	0	30	TRIGGER	4.5325	1
26.2640	0.1832	30	KEYPRESS	0.4287	1
27.0972	0	31	TRIGGER	5.0876	1
27.8138	1.9619	31	DOT_FLIP	N/A	0
27.9637	0	32	TRIGGER	5.6321	1
28.1472	0.1665	32	KEYPRESS	0.3500	1
28.8304	0	33	TRIGGER	6.1766	1
29.7137	0	34	TRIGGER	0.4484	2
29.7828	1.9800	34	DOT_FLIP	N/A	1
30.1301	0.1831	34	KEYPRESS	0.3530	1
30.5798	0	35	TRIGGER	0.9926	2
