onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8835	0	1	TRIGGER	3.1416	-3
1.7501	0	2	TRIGGER	3.1416	-2
2.6338	0	3	TRIGGER	3.1416	-2
2.9994	2.9883	3	DOT_FLIP	N/A	1
3.4998	0	4	TRIGGER	3.1416	-2
3.3327	0.2334	4	KEYPRESS	0.3444	2
4.3831	0	5	TRIGGER	3.1416	-2
5.2498	0	6	TRIGGER	3.1416	-2
5.7997	2.7991	6	DOT_FLIP	N/A	0
6.1331	0	7	TRIGGER	3.1416	-2
6.0995	0.2168	7	KEYPRESS	0.3121	2
6.9997	0	8	TRIGGER	3.1416	-1
7.6656	1.8733	8	DOT_FLIP	N/A	1
7.8657	0	9	TRIGGER	3.1416	-1
7.9822	0.1835	9	KEYPRESS	0.3215	2
8.7491	0	10	TRIGGER	3.1416	-1
9.0158	1.3508	10	DOT_FLIP	N/A	0
9.3160	0.1497	10	KEYPRESS	0.3045	2
9.6157	0	11	TRIGGER	3.1416	-1
10.4990	0	12	TRIGGER	3.1416	-1
11.3655	0	13	TRIGGER	3.1416	-1
11.9490	2.9338	13	DOT_FLIP	N/A	1
12.2655	0	14	TRIGGER	3.1416	0
12.2325	0.1501	14	KEYPRESS	0.2872	2
13.1151	0	15	TRIGGER	3.1416	0
13.9818	0	16	TRIGGER	3.1416	0
14.6318	2.6739	16	DOT_FLIP	N/A	0
14.8652	0	17	TRIGGER	4.2288	0
14.9986	0.1498	17	KEYPRESS	0.3795	2
15.7320	0	18	TRIGGER	5.3181	0
16.3486	1.7201	18	DOT_FLIP	N/A	1
16.6150	0	19	TRIGGER	0.1445	1
16.7483	0.1503	19	KEYPRESS	0.4091	2
17.4818	0	20	TRIGGER	1.2337	1
17.7146	1.3692	20	DOT_FLIP	N/A	0
18.1146	0.1333	20	KEYPRESS	0.4061	2
18.3645	0	21	TRIGGER	2.3430	1
18.9811	1.2656	21	DOT_FLIP	N/A	1
19.2316	0	22	TRIGGER	3.4326	1
19.3644	0.1503	22	KEYPRESS	0.3904	2
20.1145	0	23	TRIGGER	4.5422	1
20.9813	0	24	TRIGGER	5.6314	1
21.8479	0	25	TRIGGER	0.4372	2
21.9813	2.9936	25	DOT_FLIP	N/A	0
21.9978	0.1668	25	KEYPRESS	0.0301	2
22.5316	0.1330	25	KEYPRESS	0.5639	2
22.7308	0	26	TRIGGER	1.5467	2
22.8140	0.8340	26	DOT_FLIP	N/A	1
23.2641	0.1165	26	KEYPRESS	0.4624	2
23.5974	0	27	TRIGGER	2.6357	2
24.4809	0	28	TRIGGER	3.7459	2
25.3473	0	29	TRIGGER	4.8347	2
25.7476	2.9390	29	DOT_FLIP	N/A	0
25.9806	0.1668	29	KEYPRESS	0.2399	2
26.2305	0	30	TRIGGER	5.9445	2
26.6472	0.9005	30	DOT_FLIP	N/A	1
27.0972	0	31	TRIGGER	0.7505	3
27.0306	0.1839	31	KEYPRESS	0.3894	2
27.9801	0	32	TRIGGER	1.8599	3
28.1801	1.5318	32	DOT_FLIP	N/A	0
28.5467	0.1331	32	KEYPRESS	0.3737	2
28.8468	0	33	TRIGGER	2.9491	3
29.5134	0.1335	33	KEYPRESS	1.3404	2
29.7135	0	34	TRIGGER	4.0382	3
29.7639	1.5766	34	DOT_FLIP	N/A	1
30.2467	0.1335	34	KEYPRESS	0.4971	2
30.5968	0	35	TRIGGER	5.1482	3
31.4634	0	36	TRIGGER	6.2372	3
32.1636	2.3990	36	DOT_FLIP	N/A	0
32.3469	0	37	TRIGGER	1.0642	4
32.5468	0.1499	37	KEYPRESS	0.3983	2
33.2128	0	38	TRIGGER	2.1524	4
34.0963	0	39	TRIGGER	3.2626	4
34.3129	2.1519	39	DOT_FLIP	N/A	1
34.6462	0.1831	39	KEYPRESS	0.3458	2
34.9629	0	40	TRIGGER	4.3516	4
35.8462	0	41	TRIGGER	5.4616	4
35.9463	1.6448	41	DOT_FLIP	N/A	0
36.3632	0.1663	41	KEYPRESS	0.4179	2
36.7128	0	42	TRIGGER	0.2675	5
37.5796	0	43	TRIGGER	1.3567	5
38.1454	2.1939	43	DOT_FLIP	N/A	1
38.4953	0	44	TRIGGER	2.5074	5
38.4623	0.1665	44	KEYPRESS	0.3231	2
39.3286	0	45	TRIGGER	3.5545	5
40.2123	0	46	TRIGGER	4.6650	5
40.7622	2.6173	46	DOT_FLIP	N/A	0
41.0790	0	47	TRIGGER	5.7541	5
41.1123	0.1499	47	KEYPRESS	0.3558	2
41.9623	0	48	TRIGGER	0.5809	6
42.8283	0	49	TRIGGER	1.6692	6
43.5617	2.7897	49	DOT_FLIP	N/A	1
43.7118	0	50	TRIGGER	2.7795	6
43.8785	0.1667	50	KEYPRESS	0.3323	2
44.5785	0	51	TRIGGER	3.8686	6
45.4451	0	52	TRIGGER	4.9576	6
45.6950	2.1401	52	DOT_FLIP	N/A	0
46.1452	0.1666	52	KEYPRESS	0.4589	2
46.3453	0	53	TRIGGER	6.0888	6
47.1952	0	54	TRIGGER	0.8736	7
48.0779	0	55	TRIGGER	1.9828	7
48.4779	2.7913	55	DOT_FLIP	N/A	1
48.7778	0.1667	55	KEYPRESS	0.3001	2
48.9615	0	56	TRIGGER	3.0932	7
49.8277	0	57	TRIGGER	4.1818	7
50.6945	0	58	TRIGGER	5.2710	7
50.8945	2.4024	58	DOT_FLIP	N/A	0
51.1113	0.1833	58	KEYPRESS	0.2312	2
51.5780	0	59	TRIGGER	0.0980	8
51.4613	0.1335	59	KEYPRESS	0.5812	2
52.4445	0	60	TRIGGER	1.1869	8
52.6945	1.8050	60	DOT_FLIP	N/A	1
53.0106	0.1666	60	KEYPRESS	0.3256	2
