onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8832	0	1	TRIGGER	3.1416	-1
1.2333	1.2281	1	DOT_FLIP	N/A	1
1.5834	0.1665	1	KEYPRESS	0.3553	1
1.7665	0	2	TRIGGER	3.1416	-1
2.6332	0	3	TRIGGER	3.1416	-1
3.5002	0	4	TRIGGER	3.1416	-1
3.6997	2.4585	4	DOT_FLIP	N/A	0
4.0001	0.1333	4	KEYPRESS	0.3135	1
4.3660	0	5	TRIGGER	3.1416	-1
5.0995	1.4052	5	DOT_FLIP	N/A	1
5.2493	0	6	TRIGGER	3.1416	-1
5.3994	0.1500	6	KEYPRESS	0.3076	1
6.1161	0	7	TRIGGER	3.1416	-1
6.2996	1.1927	7	DOT_FLIP	N/A	0
6.6327	0.1335	7	KEYPRESS	0.3482	1
6.9995	0	8	TRIGGER	3.1416	-1
7.2664	0.9664	8	DOT_FLIP	N/A	1
7.5827	0.1333	8	KEYPRESS	0.3318	1
7.8662	0	9	TRIGGER	3.1416	-1
8.6827	1.4269	9	DOT_FLIP	N/A	0
8.7495	0	10	TRIGGER	3.1416	-1
8.9828	0.1167	10	KEYPRESS	0.3050	1
9.6155	0	11	TRIGGER	3.1416	0
9.7155	1.0217	11	DOT_FLIP	N/A	1
10.0323	0.1330	11	KEYPRESS	0.3329	1
10.4825	0	12	TRIGGER	3.1416	0
10.7988	1.0982	12	DOT_FLIP	N/A	0
11.0824	0.1495	12	KEYPRESS	0.2848	1
11.3654	0	13	TRIGGER	3.1416	0
12.2320	0	14	TRIGGER	3.1416	0
12.4487	1.6347	14	DOT_FLIP	N/A	1
12.6155	0.1335	14	KEYPRESS	0.1833	1
13.1156	0	15	TRIGGER	3.1416	0
13.9822	0	16	TRIGGER	3.1416	0
14.8650	0	17	TRIGGER	3.6851	0
15.2817	2.8376	17	DOT_FLIP	N/A	0
15.5652	0.1499	17	KEYPRESS	0.2953	1
15.7487	0	18	TRIGGER	4.2403	0
16.6151	0	19	TRIGGER	4.7847	0
17.2821	2.0049	19	DOT_FLIP	N/A	1
17.4819	0	20	TRIGGER	5.3294	0
17.5983	0.1332	20	KEYPRESS	0.3235	1
18.3651	0	21	TRIGGER	5.8842	0
19.2317	0	22	TRIGGER	0.1456	1
19.8977	2.6083	22	DOT_FLIP	N/A	0
20.0978	0	23	TRIGGER	0.6897	1
20.2142	0.1333	23	KEYPRESS	0.3312	1
20.9811	0	24	TRIGGER	1.2448	1
21.8477	0	25	TRIGGER	1.7893	1
22.7310	0	26	TRIGGER	2.3442	1
22.7809	2.8870	26	DOT_FLIP	N/A	1
23.1144	0.1334	26	KEYPRESS	0.3444	1
23.5980	0	27	TRIGGER	2.8890	1
24.4804	0	28	TRIGGER	3.4435	1
25.3471	0	29	TRIGGER	3.9880	1
25.3639	2.5917	29	DOT_FLIP	N/A	0
25.6806	0.1332	29	KEYPRESS	0.3189	1
26.2306	0	30	TRIGGER	4.5431	1
27.0972	0	31	TRIGGER	5.0876	1
27.3807	2.0061	31	DOT_FLIP	N/A	1
27.7139	0.1331	31	KEYPRESS	0.3461	1
27.9639	0	32	TRIGGER	5.6322	1
28.8477	0	33	TRIGGER	6.1875	1
29.7131	0	34	TRIGGER	0.4481	2
29.7631	2.3810	34	DOT_FLIP	N/A	0
30.0967	0.1166	34	KEYPRESS	0.3478	1
30.5966	0	35	TRIGGER	1.0032	2
31.4633	0	36	TRIGGER	1.5477	2
31.4802	1.7295	36	DOT_FLIP	N/A	1
31.8132	0.1502	36	KEYPRESS	0.3349	1
32.3465	0	37	TRIGGER	2.1027	2
33.2133	0	38	TRIGGER	2.6473	2
33.5135	2.0272	38	DOT_FLIP	N/A	0
33.7966	0.1170	38	KEYPRESS	0.2911	1
34.0800	0	39	TRIGGER	3.1919	2
34.9627	0	40	TRIGGER	3.7465	2
35.8293	0	41	TRIGGER	4.2910	2
36.4295	2.9176	41	DOT_FLIP	N/A	1
36.7128	0	42	TRIGGER	4.8461	2
36.7629	0.1330	42	KEYPRESS	0.3398	1
37.5793	0	43	TRIGGER	5.3906	2
38.4628	0	44	TRIGGER	5.9456	2
38.9793	2.5535	44	DOT_FLIP	N/A	0
39.3300	0	45	TRIGGER	0.2074	3
39.3133	0.1487	45	KEYPRESS	0.3366	1
40.2122	0	46	TRIGGER	0.7616	3
40.3792	1.3927	46	DOT_FLIP	N/A	1
40.7290	0.1501	46	KEYPRESS	0.3597	1
41.0790	0	47	TRIGGER	1.3063	3
41.9623	0	48	TRIGGER	1.8613	3
42.6456	2.2665	48	DOT_FLIP	N/A	0
42.8288	0	49	TRIGGER	2.4057	3
42.9790	0.1501	49	KEYPRESS	0.3432	1
43.6954	0	50	TRIGGER	2.9502	3
44.5783	0	51	TRIGGER	3.5050	3
45.1615	2.5233	51	DOT_FLIP	N/A	1
45.4449	0	52	TRIGGER	4.0494	3
45.4783	0.1667	52	KEYPRESS	0.3192	1
46.3283	0	53	TRIGGER	4.6045	3
47.1948	0	54	TRIGGER	5.1490	3
48.0785	0	55	TRIGGER	5.7042	3
48.0953	2.9238	55	DOT_FLIP	N/A	0
48.4452	0.1495	55	KEYPRESS	0.3623	1
48.9449	0	56	TRIGGER	6.2485	3
49.5442	1.4601	56	DOT_FLIP	N/A	1
49.8279	0	57	TRIGGER	0.5202	4
49.9443	0.1501	57	KEYPRESS	0.4012	1
50.6946	0	58	TRIGGER	1.0647	4
51.5612	0	59	TRIGGER	1.6093	4
51.6441	2.0869	59	DOT_FLIP	N/A	0
51.9944	0.1503	59	KEYPRESS	0.3644	1
52.4443	0	60	TRIGGER	2.1641	4
53.3110	0	61	TRIGGER	2.7087	4
54.1442	2.5060	61	DOT_FLIP	N/A	1
54.1944	0	62	TRIGGER	3.2637	4
54.4613	0.1660	62	KEYPRESS	0.3252	1
55.0606	0	63	TRIGGER	3.8080	4
55.9438	0	64	TRIGGER	4.3629	4
56.0438	1.8979	64	DOT_FLIP	N/A	0
56.3605	0.1668	64	KEYPRESS	0.3265	1
56.8106	0	65	TRIGGER	4.9075	4
57.6938	0	66	TRIGGER	5.4625	4
58.4439	2.4075	66	DOT_FLIP	N/A	1
58.5606	0	67	TRIGGER	6.0071	4
58.8272	0.1501	67	KEYPRESS	0.3857	1
59.4273	0	68	TRIGGER	0.2685	5
60.3102	0	69	TRIGGER	0.8232	5
60.5932	2.1471	69	DOT_FLIP	N/A	0
60.9266	0.1665	69	KEYPRESS	0.3380	1
61.1770	0	70	TRIGGER	1.3678	5
61.4098	0.8089	70	DOT_FLIP	N/A	1
61.8599	0.1835	70	KEYPRESS	0.4624	1
62.0767	0	71	TRIGGER	1.9332	5
62.9267	0	72	TRIGGER	2.4672	5
63.2599	1.8623	72	DOT_FLIP	N/A	0
63.6099	0.1668	72	KEYPRESS	0.3501	1
63.8100	0	73	TRIGGER	3.0222	5
64.5593	1.2896	73	DOT_FLIP	N/A	1
64.6759	0	74	TRIGGER	3.5663	5
65.0093	0.1501	74	KEYPRESS	0.4600	1
65.5593	0	75	TRIGGER	4.1213	5
66.4261	0	76	TRIGGER	4.6660	5
67.1093	2.5439	76	DOT_FLIP	N/A	0
67.2926	0	77	TRIGGER	5.2104	5
67.4926	0.1668	77	KEYPRESS	0.3994	1
68.1761	0	78	TRIGGER	5.7655	5
68.4595	1.3584	78	DOT_FLIP	N/A	1
68.8095	0.1668	78	KEYPRESS	0.3580	1
69.0427	0	79	TRIGGER	0.0269	6
69.4261	0.9696	79	DOT_FLIP	N/A	0
69.9255	0	80	TRIGGER	0.5815	6
69.8589	0.1670	80	KEYPRESS	0.4377	1
70.6252	1.1908	80	DOT_FLIP	N/A	1
70.7920	0	81	TRIGGER	1.1260	6
70.9923	0.1665	81	KEYPRESS	0.3803	1
71.6256	1.0090	81	DOT_FLIP	N/A	0
71.6755	0	82	TRIGGER	1.6810	6
72.0257	0.1665	82	KEYPRESS	0.4047	1
72.5420	0	83	TRIGGER	2.2255	6
73.4256	0	84	TRIGGER	2.7807	6
73.8421	2.2112	84	DOT_FLIP	N/A	1
74.2922	0	85	TRIGGER	3.3252	6
74.1755	0.1502	85	KEYPRESS	0.3434	1
74.7749	0.9280	85	DOT_FLIP	N/A	0
75.1582	0	86	TRIGGER	3.8693	6
75.1082	0.1834	86	KEYPRESS	0.3481	1
76.0416	0	87	TRIGGER	4.4243	6
76.9082	0	88	TRIGGER	4.9689	6
