onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8665	0	1	TRIGGER	3.1416	-3
1.7335	0	2	TRIGGER	3.1416	-2
2.5660	2.5650	2	DOT_FLIP	N/A	1
2.6161	0	3	TRIGGER	3.1416	-2
2.8994	0.1502	3	KEYPRESS	0.3344	1
3.4825	0	4	TRIGGER	3.1416	-2
3.8326	1.2676	4	DOT_FLIP	N/A	0
4.1493	0.1500	4	KEYPRESS	0.3167	1
4.3660	0	5	TRIGGER	3.1416	-2
5.2326	0	6	TRIGGER	3.1416	-2
6.1163	0	7	TRIGGER	3.1416	-2
6.3325	2.4904	7	DOT_FLIP	N/A	1
6.6325	0.1501	7	KEYPRESS	0.3095	1
6.9821	0	8	TRIGGER	3.1416	-1
7.5152	1.1782	8	DOT_FLIP	N/A	0
7.8653	0	9	TRIGGER	3.1416	-1
7.8155	0.1663	9	KEYPRESS	0.3143	1
8.7321	0	10	TRIGGER	3.1416	-1
9.0155	1.4984	10	DOT_FLIP	N/A	1
9.3151	0.1504	10	KEYPRESS	0.3154	1
9.5988	0	11	TRIGGER	3.1416	-1
10.4822	0	12	TRIGGER	3.1416	-1
10.9652	1.9527	12	DOT_FLIP	N/A	0
11.3486	0	13	TRIGGER	3.1416	-1
11.2319	0.1501	13	KEYPRESS	0.2796	1
12.2315	0	14	TRIGGER	3.1416	0
13.0978	0	15	TRIGGER	3.1416	0
13.4315	2.4705	15	DOT_FLIP	N/A	1
13.7318	0.1663	15	KEYPRESS	0.3089	1
13.9814	0	16	TRIGGER	3.1416	0
14.8481	0	17	TRIGGER	4.2074	0
15.4815	2.0490	17	DOT_FLIP	N/A	0
15.7149	0	18	TRIGGER	5.2966	0
15.8480	0.1336	18	KEYPRESS	0.3762	1
16.5983	0	19	TRIGGER	0.1235	1
17.4643	0	20	TRIGGER	1.2118	1
18.1478	2.6733	20	DOT_FLIP	N/A	1
18.3479	0	21	TRIGGER	2.3221	1
18.4642	0.1503	21	KEYPRESS	0.3190	1
19.2145	0	22	TRIGGER	3.4112	1
19.3809	1.2239	22	DOT_FLIP	N/A	0
19.7143	0.1501	22	KEYPRESS	0.3453	1
20.0976	0	23	TRIGGER	4.5209	1
20.9643	0	24	TRIGGER	5.6100	1
21.8474	0	25	TRIGGER	0.4365	2
22.2635	2.8881	25	DOT_FLIP	N/A	1
22.7136	0	26	TRIGGER	1.5251	2
22.5971	0.1500	26	KEYPRESS	0.3399	1
23.5803	0	27	TRIGGER	2.6141	2
23.8302	1.5650	27	DOT_FLIP	N/A	0
24.2139	0.1331	27	KEYPRESS	0.3918	1
24.4636	0	28	TRIGGER	3.7242	2
24.6972	0.8632	28	DOT_FLIP	N/A	1
25.0971	0.1335	28	KEYPRESS	0.4117	1
25.3303	0	29	TRIGGER	4.8133	2
26.2136	0	30	TRIGGER	5.9233	2
26.2804	1.5857	30	DOT_FLIP	N/A	0
26.6471	0.1169	30	KEYPRESS	0.3762	1
27.0798	0	31	TRIGGER	0.7286	3
27.9634	0	32	TRIGGER	1.8389	3
28.8299	0	33	TRIGGER	2.9278	3
29.2630	2.9886	33	DOT_FLIP	N/A	1
29.7131	0	34	TRIGGER	4.0377	3
29.5967	0.1333	34	KEYPRESS	0.3372	1
30.5799	0	35	TRIGGER	5.1270	3
