onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8666	0	1	TRIGGER	3.1416	-3
1.5994	1.5845	1	DOT_FLIP	N/A	1
1.7328	0	2	TRIGGER	3.1416	-2
1.9993	0.2168	2	KEYPRESS	0.4148	1
2.6161	0	3	TRIGGER	3.1416	-2
2.9494	1.3596	3	DOT_FLIP	N/A	0
3.4828	0	4	TRIGGER	3.1416	-2
3.3493	0.2503	4	KEYPRESS	0.4053	1
4.3660	0	5	TRIGGER	3.1416	-2
4.7160	1.7691	5	DOT_FLIP	N/A	1
5.2327	0	6	TRIGGER	3.1416	-2
5.0828	0.2001	6	KEYPRESS	0.3696	1
6.1161	0	7	TRIGGER	3.1416	-2
6.9824	0	8	TRIGGER	3.1416	-1
7.4490	2.7358	8	DOT_FLIP	N/A	0
7.8653	0	9	TRIGGER	3.1416	-1
7.7990	0.2167	9	KEYPRESS	0.3500	1
8.7323	0	10	TRIGGER	3.1416	-1
9.5990	0	11	TRIGGER	3.1416	-1
9.7990	2.3363	11	DOT_FLIP	N/A	1
10.1490	0.2166	11	KEYPRESS	0.3638	1
10.4823	0	12	TRIGGER	3.1416	-1
11.3549	0	13	TRIGGER	3.1416	-1
12.2318	0	14	TRIGGER	3.1416	0
12.2984	2.5032	14	DOT_FLIP	N/A	0
12.6652	0.2166	14	KEYPRESS	0.3768	1
13.0984	0	15	TRIGGER	3.1416	0
13.3556	1.0595	15	DOT_FLIP	N/A	1
13.9817	0	16	TRIGGER	3.1416	0
13.8484	0.2001	16	KEYPRESS	0.5004	1
14.8484	0	17	TRIGGER	4.2078	0
15.2984	1.9431	17	DOT_FLIP	N/A	0
15.7151	0	18	TRIGGER	5.2969	0
15.6485	0.1833	18	KEYPRESS	0.3574	1
16.5975	0	19	TRIGGER	0.1225	1
16.9810	1.6895	19	DOT_FLIP	N/A	1
17.4645	0	20	TRIGGER	1.2120	1
17.3811	0.2332	20	KEYPRESS	0.4006	1
18.3398	0	21	TRIGGER	2.3120	1
19.1643	2.1693	21	DOT_FLIP	N/A	0
19.2143	0	22	TRIGGER	3.4109	1
19.3339	0.1971	22	KEYPRESS	0.1841	1
20.0976	0	23	TRIGGER	4.5209	1
20.9643	0	24	TRIGGER	5.6100	1
21.8471	0	25	TRIGGER	0.4362	2
21.9804	2.8160	25	DOT_FLIP	N/A	1
22.3572	0.2065	25	KEYPRESS	0.3914	1
22.7137	0	26	TRIGGER	1.5252	2
23.0304	1.0505	26	DOT_FLIP	N/A	0
23.5972	0	27	TRIGGER	2.6354	2
23.6147	0.1823	27	KEYPRESS	0.5984	1
24.1639	1.1352	27	DOT_FLIP	N/A	1
24.4637	0	28	TRIGGER	3.7243	2
24.6471	0.2168	28	KEYPRESS	0.4955	1
25.3349	0	29	TRIGGER	4.8191	2
25.5303	1.3707	29	DOT_FLIP	N/A	0
25.9139	0.1997	29	KEYPRESS	0.3916	1
26.2137	0	30	TRIGGER	5.9235	2
27.0800	0	31	TRIGGER	0.7289	3
27.3135	1.7854	31	DOT_FLIP	N/A	1
27.6967	0.2334	31	KEYPRESS	0.3889	1
27.9632	0	32	TRIGGER	1.8388	3
28.8299	0	33	TRIGGER	2.9279	3
29.4634	2.1492	33	DOT_FLIP	N/A	0
29.7133	0	34	TRIGGER	4.0380	3
29.8299	0.2001	34	KEYPRESS	0.3729	1
30.5801	0	35	TRIGGER	5.1272	3
30.5973	1.1259	35	DOT_FLIP	N/A	1
31.0133	0.2168	35	KEYPRESS	0.4304	1
31.4633	0	36	TRIGGER	6.2371	3
32.3294	0	37	TRIGGER	1.0422	4
33.1127	2.5286	37	DOT_FLIP	N/A	0
33.1962	0	38	TRIGGER	2.1315	4
33.4627	0.1835	38	KEYPRESS	0.3512	1
34.0794	0	39	TRIGGER	3.2414	4
34.1796	1.0548	39	DOT_FLIP	N/A	1
34.6127	0.2001	39	KEYPRESS	0.4464	1
34.9461	0	40	TRIGGER	4.3305	4
35.8295	0	41	TRIGGER	5.4406	4
36.4960	2.3214	41	DOT_FLIP	N/A	0
36.6954	0	42	TRIGGER	0.2456	5
36.8621	0.2001	42	KEYPRESS	0.3744	1
37.5788	0	43	TRIGGER	1.3557	5
38.4455	0	44	TRIGGER	2.4448	5
39.3296	0	45	TRIGGER	3.5558	5
39.3714	2.8725	45	DOT_FLIP	N/A	1
39.7623	0.2167	45	KEYPRESS	0.4021	1
40.1955	0	46	TRIGGER	4.6439	5
41.0622	0	47	TRIGGER	5.7331	5
41.2955	1.9315	47	DOT_FLIP	N/A	0
41.6281	0.1667	47	KEYPRESS	0.3365	1
41.9449	0	48	TRIGGER	0.5591	6
42.8116	0	49	TRIGGER	1.6482	6
43.2783	1.9756	49	DOT_FLIP	N/A	1
43.6949	0	50	TRIGGER	2.7582	6
43.7949	0.2001	50	KEYPRESS	0.5276	1
44.5616	0	51	TRIGGER	3.8474	6
45.4450	0	52	TRIGGER	4.9574	6
46.1116	2.8384	52	DOT_FLIP	N/A	0
46.3117	0	53	TRIGGER	6.0465	6
46.4450	0.1993	53	KEYPRESS	0.3394	1
47.1943	0	54	TRIGGER	0.8725	7
48.0610	0	55	TRIGGER	1.9616	7
48.1944	2.0878	55	DOT_FLIP	N/A	1
48.6611	0.1668	55	KEYPRESS	0.4677	1
48.9277	0	56	TRIGGER	3.0508	7
49.8110	0	57	TRIGGER	4.1607	7
50.1777	1.9746	57	DOT_FLIP	N/A	0
50.6772	0	58	TRIGGER	5.2492	7
50.5611	0.1666	58	KEYPRESS	0.3931	1
51.5610	0	59	TRIGGER	0.0766	8
51.6937	1.5148	59	DOT_FLIP	N/A	1
52.1604	0.1669	59	KEYPRESS	0.4777	1
52.4272	0	60	TRIGGER	1.1651	8
53.3106	0	61	TRIGGER	2.2752	8
54.1773	0	62	TRIGGER	3.3644	8
54.6764	2.9858	62	DOT_FLIP	N/A	0
55.0605	0	63	TRIGGER	4.4742	8
55.0272	0.2001	63	KEYPRESS	0.3587	1
55.6271	0.9525	63	DOT_FLIP	N/A	1
55.9271	0	64	TRIGGER	5.5633	8
56.0772	0.1833	64	KEYPRESS	0.4562	1
56.6439	1.0101	64	DOT_FLIP	N/A	0
56.7932	0	65	TRIGGER	0.3684	9
57.4432	0.1834	65	KEYPRESS	0.8122	1
57.6765	0	66	TRIGGER	1.4785	9
58.5433	0	67	TRIGGER	2.5677	9
58.6438	2.0044	67	DOT_FLIP	N/A	1
59.0432	0.2167	67	KEYPRESS	0.4078	1
59.4267	0	68	TRIGGER	3.6778	9
59.8100	1.1718	68	DOT_FLIP	N/A	0
60.2932	0	69	TRIGGER	4.7667	9
60.2432	0.2329	69	KEYPRESS	0.4360	1
61.1766	0	70	TRIGGER	5.8768	9
61.7426	1.9332	70	DOT_FLIP	N/A	1
62.0427	0	71	TRIGGER	0.6820	10
62.1593	0.2660	71	KEYPRESS	0.4189	1
62.9260	0	72	TRIGGER	1.7919	10
63.2926	1.5404	72	DOT_FLIP	N/A	0
63.7928	0	73	TRIGGER	2.8812	10
63.5428	0.2832	73	KEYPRESS	0.2620	1
64.6588	0	74	TRIGGER	3.9695	10
65.5426	0	75	TRIGGER	5.0801	10
65.8760	2.5848	75	DOT_FLIP	N/A	1
66.4093	0	76	TRIGGER	6.1692	10
66.2426	0.3001	76	KEYPRESS	0.3770	1
67.2921	0	77	TRIGGER	0.9953	11
68.1588	0	78	TRIGGER	2.0845	11
68.7088	2.8265	78	DOT_FLIP	N/A	0
69.0421	0	79	TRIGGER	3.1945	11
69.0755	0.2834	79	KEYPRESS	0.3834	1
69.9087	0	80	TRIGGER	4.2835	11
70.5076	1.8045	80	DOT_FLIP	N/A	1
70.7920	0	81	TRIGGER	5.3935	11
70.9255	0.2833	81	KEYPRESS	0.4290	1
71.6589	0	82	TRIGGER	0.1997	12
72.5251	0	83	TRIGGER	1.2881	12
73.2917	2.7928	83	DOT_FLIP	N/A	0
73.4084	0	84	TRIGGER	2.3982	12
73.6739	0.3843	84	KEYPRESS	0.3846	1
74.2750	0	85	TRIGGER	3.4872	12
75.1582	0	86	TRIGGER	4.5970	12
75.6582	2.3637	86	DOT_FLIP	N/A	1
76.0249	0	87	TRIGGER	5.6862	12
76.0582	0.2867	87	KEYPRESS	0.4052	1
76.9076	0	88	TRIGGER	0.5122	13
77.1243	1.4657	88	DOT_FLIP	N/A	0
77.7744	0	89	TRIGGER	1.6015	13
77.6408	0.2500	89	KEYPRESS	0.5220	1
78.6410	0	90	TRIGGER	2.6904	13
79.2576	2.1322	90	DOT_FLIP	N/A	1
79.5244	0	91	TRIGGER	3.8005	13
79.7077	0.2332	91	KEYPRESS	0.4567	1
80.3912	0	92	TRIGGER	4.8898	13
81.2732	0	93	TRIGGER	5.9982	13
81.3067	2.0547	93	DOT_FLIP	N/A	0
81.7903	0.2333	93	KEYPRESS	0.4847	1
82.1405	0	94	TRIGGER	0.8049	14
83.0239	0	95	TRIGGER	1.9150	14
83.8904	0	96	TRIGGER	3.0039	14
84.2906	2.9839	96	DOT_FLIP	N/A	1
84.7738	0	97	TRIGGER	4.1140	14
84.6732	0.2673	97	KEYPRESS	0.3837	1
85.3904	1.0970	97	DOT_FLIP	N/A	0
85.6405	0	98	TRIGGER	5.2031	14
86.5240	0	99	TRIGGER	0.0301	15
87.3888	0	100	TRIGGER	1.1169	15
87.5565	2.1645	100	DOT_FLIP	N/A	1
87.9233	0.2834	100	KEYPRESS	0.3723	1
88.2567	0	101	TRIGGER	2.2076	15
89.1399	0	102	TRIGGER	3.3174	15
90.0067	0	103	TRIGGER	4.4067	15
90.4900	2.9365	103	DOT_FLIP	N/A	0
90.8899	0	104	TRIGGER	5.5165	15
90.9232	0.2333	104	KEYPRESS	0.4358	1
91.7567	0	105	TRIGGER	0.3226	16
92.6394	0	106	TRIGGER	1.4318	16
93.3653	2.8766	106	DOT_FLIP	N/A	1
93.5060	0	107	TRIGGER	2.5209	16
93.7393	0.2501	107	KEYPRESS	0.3752	1
94.3881	0	108	TRIGGER	3.6293	16
95.2559	0	109	TRIGGER	4.7198	16
95.3893	2.0203	109	DOT_FLIP	N/A	0
95.7726	0.2335	109	KEYPRESS	0.3882	1
96.1223	0	110	TRIGGER	5.8085	16
96.7227	1.3299	110	DOT_FLIP	N/A	1
97.0053	0	111	TRIGGER	0.6350	17
97.1887	0.2167	111	KEYPRESS	0.4745	1
97.8719	0	112	TRIGGER	1.7240	17
98.2054	1.4840	112	DOT_FLIP	N/A	0
98.7555	0	113	TRIGGER	2.8343	17
98.6555	0.2332	113	KEYPRESS	0.4573	1
99.6222	0	114	TRIGGER	3.9235	17
100.5054	0	115	TRIGGER	5.0333	17
100.6890	2.4830	115	DOT_FLIP	N/A	1
101.0388	0.2676	115	KEYPRESS	0.3576	1
101.3709	0	116	TRIGGER	6.1209	17
102.2548	0	117	TRIGGER	0.9485	18
103.1216	0	118	TRIGGER	2.0377	18
103.1716	2.4834	118	DOT_FLIP	N/A	0
103.5880	0.2335	118	KEYPRESS	0.4234	1
103.9881	0	119	TRIGGER	3.1267	18
104.8716	0	120	TRIGGER	4.2369	18
105.1215	1.9512	120	DOT_FLIP	N/A	1
105.7383	0	121	TRIGGER	5.3260	18
105.6716	0.1833	121	KEYPRESS	0.5557	1
106.0882	0.9636	121	DOT_FLIP	N/A	0
106.6216	0	122	TRIGGER	0.1528	19
106.6882	0.2160	122	KEYPRESS	0.6088	1
107.4876	0	123	TRIGGER	1.2411	19
108.3700	0	124	TRIGGER	2.3499	19
108.5375	2.4454	124	DOT_FLIP	N/A	1
108.9376	0.2498	124	KEYPRESS	0.4128	1
109.2377	0	125	TRIGGER	3.4403	19
110.1210	0	126	TRIGGER	4.5502	19
110.9043	2.3785	126	DOT_FLIP	N/A	0
110.9877	0	127	TRIGGER	5.6394	19
111.2543	0.2167	127	KEYPRESS	0.3511	1
111.8536	0	128	TRIGGER	0.4443	20
112.7370	0	129	TRIGGER	1.5545	20
113.4705	2.5564	129	DOT_FLIP	N/A	1
113.6037	0	130	TRIGGER	2.6436	20
113.7871	0.2333	130	KEYPRESS	0.3274	1
114.4870	0	131	TRIGGER	3.7536	20
114.8037	1.3278	131	DOT_FLIP	N/A	0
115.3537	0	132	TRIGGER	4.8427	20
115.2203	0.2502	132	KEYPRESS	0.4328	1
115.8538	1.0514	132	DOT_FLIP	N/A	1
116.2371	0	133	TRIGGER	5.9528	20
116.3445	0.1925	133	KEYPRESS	0.5055	1
117.1032	0	134	TRIGGER	0.7581	21
117.9865	0	135	TRIGGER	1.8680	21
118.1866	2.3422	135	DOT_FLIP	N/A	0
118.5198	0.2500	135	KEYPRESS	0.3387	1
118.8533	0	136	TRIGGER	2.9572	21
119.7199	0	137	TRIGGER	4.0463	21
120.5865	2.4049	137	DOT_FLIP	N/A	1
120.6033	0	138	TRIGGER	5.1564	21
120.9695	0.2004	138	KEYPRESS	0.3835	1
121.4698	0	139	TRIGGER	6.2453	21
122.3438	0	140	TRIGGER	1.0604	22
122.9859	2.3997	140	DOT_FLIP	N/A	0
123.2193	0	141	TRIGGER	2.1605	22
123.3683	0.2686	141	KEYPRESS	0.3826	1
124.1025	0	142	TRIGGER	3.2704	22
124.9692	0	143	TRIGGER	4.3595	22
125.3692	2.3830	143	DOT_FLIP	N/A	1
125.8527	0	144	TRIGGER	5.4698	22
125.7524	0.2335	144	KEYPRESS	0.3837	1
126.7193	0	145	TRIGGER	0.2756	23
127.5855	0	146	TRIGGER	1.3640	23
127.7189	2.3348	146	DOT_FLIP	N/A	0
128.0688	0.2500	146	KEYPRESS	0.3653	1
128.4688	0	147	TRIGGER	2.4741	23
129.0687	1.3615	147	DOT_FLIP	N/A	1
129.3354	0	148	TRIGGER	3.5630	23
