onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8660	0	1	TRIGGER	3.1416	-1
1.7501	0	2	TRIGGER	3.1416	-1
2.2993	2.2862	2	DOT_FLIP	N/A	1
2.6165	0	3	TRIGGER	3.1416	-1
2.7828	0.1677	3	KEYPRESS	0.4966	1
3.5002	0	4	TRIGGER	3.1416	-1
3.8659	1.5776	4	DOT_FLIP	N/A	0
4.3665	0	5	TRIGGER	3.1416	0
4.2492	0.1835	5	KEYPRESS	0.3854	1
5.2493	0	6	TRIGGER	3.1416	0
6.1155	0	7	TRIGGER	3.1416	0
6.7497	2.8745	7	DOT_FLIP	N/A	1
6.9821	0	8	TRIGGER	3.1416	0
7.0998	0.1492	8	KEYPRESS	0.3615	1
7.8655	0	9	TRIGGER	3.1416	0
8.5490	1.8003	9	DOT_FLIP	N/A	0
8.7325	0	10	TRIGGER	3.1416	0
8.9156	0.1838	10	KEYPRESS	0.3770	1
9.6158	0	11	TRIGGER	3.1416	0
10.4824	0	12	TRIGGER	3.1416	0
11.0487	2.4989	12	DOT_FLIP	N/A	1
11.3652	0	13	TRIGGER	3.1416	0
11.4149	0.1831	13	KEYPRESS	0.3774	1
12.2313	0	14	TRIGGER	3.1416	0
12.5491	1.5032	14	DOT_FLIP	N/A	0
12.8984	0.1663	14	KEYPRESS	0.3577	1
13.1149	0	15	TRIGGER	3.1416	0
13.9322	1.3863	15	DOT_FLIP	N/A	1
13.9824	0	16	TRIGGER	3.1416	0
14.2984	0.1496	16	KEYPRESS	0.3714	1
14.8488	0	17	TRIGGER	3.4082	0
15.7312	0	18	TRIGGER	3.6855	0
16.2816	2.3392	18	DOT_FLIP	N/A	0
16.5981	0	19	TRIGGER	3.9578	0
16.7142	0.1175	19	KEYPRESS	0.4479	1
17.4810	0	20	TRIGGER	4.2352	0
17.5482	1.2702	20	DOT_FLIP	N/A	1
17.8985	0.1327	20	KEYPRESS	0.3621	1
18.3477	0	21	TRIGGER	4.5075	0
19.2311	0	22	TRIGGER	4.7850	0
20.0979	0	23	TRIGGER	5.0573	0
20.1637	2.6214	23	DOT_FLIP	N/A	0
20.5637	0.1167	23	KEYPRESS	0.4058	1
20.9803	0	24	TRIGGER	5.3345	0
21.8480	0	25	TRIGGER	5.6071	0
21.8814	1.7107	25	DOT_FLIP	N/A	1
22.2637	0.1675	25	KEYPRESS	0.3952	1
22.7138	0	26	TRIGGER	5.8791	0
23.5973	0	27	TRIGGER	6.1567	0
24.3146	2.4352	27	DOT_FLIP	N/A	0
24.4644	0	28	TRIGGER	0.1459	1
24.6980	0.1492	28	KEYPRESS	0.3942	1
25.3468	0	29	TRIGGER	0.4231	1
26.2132	0	30	TRIGGER	0.6953	1
26.2634	1.9579	30	DOT_FLIP	N/A	1
26.6465	0.1510	30	KEYPRESS	0.3849	1
27.0969	0	31	TRIGGER	0.9729	1
27.7465	1.4811	31	DOT_FLIP	N/A	0
27.9637	0	32	TRIGGER	1.2452	1
28.1634	0.1499	32	KEYPRESS	0.4206	1
28.8465	0	33	TRIGGER	1.5226	1
29.7134	0	34	TRIGGER	1.7949	1
29.8466	2.0986	34	DOT_FLIP	N/A	1
30.1960	0.1667	34	KEYPRESS	0.3547	1
30.5804	0	35	TRIGGER	2.0673	1
31.1800	1.3346	35	DOT_FLIP	N/A	0
31.4631	0	36	TRIGGER	2.3446	1
31.5961	0.1497	36	KEYPRESS	0.4202	1
32.3294	0	37	TRIGGER	2.6167	1
33.0463	1.8668	37	DOT_FLIP	N/A	1
33.2126	0	38	TRIGGER	2.8942	1
33.4126	0.1334	38	KEYPRESS	0.3699	1
33.9127	0.8615	38	DOT_FLIP	N/A	0
34.0794	0	39	TRIGGER	3.1665	1
34.3130	0.1336	39	KEYPRESS	0.4088	1
34.9633	0	40	TRIGGER	3.4442	1
35.8297	0	41	TRIGGER	3.7164	1
36.7124	0	42	TRIGGER	3.9937	1
36.7293	2.8190	42	DOT_FLIP	N/A	1
